kappa,r_leak,hist_x,hist_y,E_x,E_y,D_world_abs,D_world_hat,D_bnd_red_abs,D_bnd_red_hat,D_tr_full_abs,D_tr_full_hat,D_tr_red_abs,D_tr_red_hat,retention_full,retention_red,floor_x,floor_y,ceil_x,ceil_y,int_x,int_y
0.025,400.0,n0_a0.65_sus,n0_a0.65_pulse,195.00000000000105,195.00000000000017,12.219303978524877,0.6568936751761835,16.113267222516587,0.7404321039409837,0.004652981946350373,1.2650454053650113,0.008037394661517858,1.2616224628015404,1.9257993388743122,1.7039002713233222,0.9498333333333333,0.977,0.0,0.0036666666666666666,0.029,0.012
0.025,400.0,n0_a0.65_sus,n0_a1_sus,195.00000000000105,300.0,10.016271229040242,0.35000000000000037,11.717988201886127,0.3500000000000002,0.008656120050683737,0.8399572673313159,0.010413900028867057,0.745040843304958,2.3998779066609,2.12868812372845,0.9498333333333333,0.8128333333333333,0.0,0.0265,0.029,0.113
0.025,400.0,n0_a0.65_sus,n0_a1_pulse,195.00000000000105,300.0,16.8932169589853,0.6424622210247248,22.46239377969364,0.7002679652524383,0.007442663591488515,1.0825016643264842,0.012122891286799846,1.093304931248241,1.6849265667324347,1.5612665229575617,0.9498333333333333,0.8851666666666667,0.0,0.017666666666666667,0.029,0.0575
0.025,400.0,n0_a0.65_sus,n0_a1.5_sus,195.00000000000105,450.0,24.32523012766911,0.5666666666666664,28.457971347437695,0.5666666666666664,0.016554282260641175,0.9464731919057661,0.01675811632267188,0.8730078556701227,1.6702468092454703,1.5406020982413937,0.9498333333333333,0.706,0.0,0.1455,0.029,0.09366666666666666
0.025,400.0,n0_a0.65_sus,n0_a1.5_pulse,195.00000000000105,450.0,27.813858525323425,0.7051884933789857,35.94078897817166,0.7469724261256594,0.014145133528263215,1.0140420532762584,0.016996667233019354,1.0291967346978468,1.4379730565616125,1.3778242659317523,0.9498333333333333,0.7115,0.0,0.0605,0.029,0.14633333333333334
0.025,400.0,n0_a0.65_sus,n2_a0.65_sus,195.00000000000105,195.00000000000105,7.011743937411211,0.3769421116403399,8.587597426855448,0.3946147446546024,0.004001177527925189,1.403989859137529,0.004900421656853651,1.0,3.724682957358579,2.5341171700902305,0.9498333333333333,0.9498333333333333,0.0,0.0,0.029,0.029
0.025,400.0,n0_a0.65_sus,n2_a0.65_pulse,195.00000000000105,195.00000000000017,12.931029242469235,0.6951550872148574,13.135970256348298,0.6036202316947047,0.004652981946350373,1.2650454053650113,0.004900421656853651,1.0,1.8198031326123534,1.6566707798915756,0.9498333333333333,0.977,0.0,0.0036666666666666666,0.029,0.012
0.025,400.0,n0_a0.65_sus,n2_a1_sus,195.00000000000105,300.0,13.26512205926779,0.46352505983292974,8.256454429866658,0.3372940969445797,0.010029939552409321,0.9732675342545136,0.005284961608742512,0.8591261022781339,2.0997085564377307,2.547112772090096,0.9498333333333333,0.8128333333333333,0.0,0.0265,0.029,0.113
0.025,400.0,n0_a0.65_sus,n2_a1_pulse,195.00000000000105,300.0,17.689529021219876,0.6727465900335471,13.11867884437818,0.6028256618307325,0.007442663591488515,1.0825016643264842,0.005069823401472712,1.0345688098864183,1.6090778910860095,1.716199019704166,0.9498333333333333,0.8851666666666667,0.0,0.017666666666666667,0.029,0.0575
0.025,400.0,n0_a0.65_sus,n2_a1.5_sus,195.00000000000105,450.0,26.555102741929304,0.618612505402096,17.744281661889225,0.48326163164558744,0.016688384072840855,0.954140318044768,0.01332914527093969,0.8397603781797012,1.5423876978118638,1.7376930490429694,0.9498333333333333,0.706,0.0,0.1455,0.029,0.09366666666666666
0.025,400.0,n0_a0.65_sus,n2_a1.5_pulse,195.00000000000105,450.0,28.546781127135056,0.7237709056273395,19.176215015341,0.5948842400079205,0.014162532295559659,1.0152893431430179,0.011412701567313622,1.0754543812500386,1.4027772258446896,1.807838078271698,0.9498333333333333,0.7115,0.0,0.0605,0.029,0.14633333333333334
0.025,400.0,n0_a0.65_pulse,n0_a1_sus,195.00000000000017,300.0,18.948907645636414,0.6621343935599715,23.615241384116622,0.7053543954849207,0.010935717241391408,1.0611607875819062,0.015347249715354592,1.0979870978830126,1.6026365612524154,1.5566459993889492,0.977,0.8128333333333333,0.0036666666666666666,0.0265,0.012,0.113
0.025,400.0,n0_a0.65_pulse,n0_a1_pulse,195.00000000000017,300.0,9.203071779402448,0.3500000000000005,11.226899148611897,0.3500000000000005,0.004907705929386979,0.7138035692842396,0.007307017972167138,0.6589846095863743,2.0394387693835387,1.8828131702467812,0.977,0.8851666666666667,0.0036666666666666666,0.017666666666666667,0.012,0.0575
0.025,400.0,n0_a0.65_pulse,n0_a1.5_sus,195.00000000000017,450.0,31.7296748122731,0.7391563806763861,38.20785550279681,0.7608103140563794,0.01744895678102576,0.9976252404025131,0.01908209751162704,0.9940747939418563,1.349680888216926,1.306600049415459,0.977,0.706,0.0036666666666666666,0.1455,0.012,0.09366666666666666
0.025,400.0,n0_a0.65_pulse,n0_a1.5_pulse,195.00000000000017,450.0,22.350317178548796,0.5666666666666671,27.265326503771742,0.5666666666666671,0.013087273311230158,0.9382057421932919,0.014241259341628069,0.8623489188465495,1.6556571921058079,1.5217922097292038,0.977,0.7115,0.0036666666666666666,0.0605,0.012,0.14633333333333334
0.025,400.0,n0_a0.65_pulse,n2_a0.65_sus,195.00000000000017,195.00000000000105,12.931029242469235,0.6951550872148574,14.826672929791615,0.7111129271192173,0.004652981946350373,1.2650454053650113,0.006370681323848766,1.0,1.8198031326123534,1.4062464087822033,0.977,0.9498333333333333,0.0036666666666666666,0.0,0.012,0.029
0.025,400.0,n0_a0.65_pulse,n2_a0.65_pulse,195.00000000000017,195.00000000000017,9.677908915996442,0.5662437334957366,11.852969310661576,0.5684889483616112,0.005201639519102637,1.4142135623730951,0.006370681323848766,1.0,2.4975350343258906,1.7590491475375314,0.977,0.977,0.0036666666666666666,0.0036666666666666666,0.012,0.012
0.025,400.0,n0_a0.65_pulse,n2_a1_sus,195.00000000000017,300.0,19.662140237829906,0.6870569821719856,17.71550132341794,0.7237167081293104,0.010936520548844303,1.061238737509704,0.00883507047711415,1.3868329034195914,1.544615315828422,1.9162648697227511,0.977,0.8128333333333333,0.0036666666666666666,0.0265,0.012,0.113
0.025,400.0,n0_a0.65_pulse,n2_a1_pulse,195.00000000000017,300.0,15.125865040807286,0.5752484486898458,11.987561477099598,0.5578169148458895,0.007792724377816511,1.1334164180510586,0.006484909793817727,1.0179303380850875,1.9703076481691788,1.8248466674165225,0.977,0.8851666666666667,0.0036666666666666666,0.017666666666666667,0.012,0.0575
0.025,400.0,n0_a0.65_pulse,n2_a1.5_sus,195.00000000000017,450.0,32.37406755949035,0.7541677860432945,26.510299404061485,0.7220022083472594,0.01746949828899566,0.9987996789138737,0.01580304477590315,0.9956205433769426,1.3243732991487596,1.3789716040564821,0.977,0.706,0.0036666666666666666,0.1455,0.012,0.09366666666666666
0.025,400.0,n0_a0.65_pulse,n2_a1.5_pulse,195.00000000000017,450.0,26.752188182755383,0.6782710590841694,18.562370197465015,0.5758415557413527,0.014301431449217429,1.025246801847245,0.011935729073686268,1.124740890664579,1.5115591150705694,1.9532124409058318,0.977,0.7115,0.0036666666666666666,0.0605,0.012,0.14633333333333334
0.025,400.0,n0_a1_sus,n0_a1_pulse,300.0,300.0,18.798929197730587,0.6568936751761834,24.789641880794754,0.7404321039409836,0.012315766071584754,1.1950755250630967,0.01769006500954712,1.2655989510460444,1.8192830441586598,1.709270768122879,0.8128333333333333,0.8851666666666667,0.0265,0.017666666666666667,0.113,0.0575
0.025,400.0,n0_a1_sus,n0_a1.5_sus,300.0,450.0,14.308958898628866,0.3333333333333327,16.739983145551566,0.3333333333333328,0.010517363214797366,0.6013188717948078,0.00980338052632926,0.5107034732794127,1.8039566153844269,1.5321104198382405,0.8128333333333333,0.706,0.0265,0.1455,0.113,0.09366666666666666
