traj,occurrence_id,relation_lineage,parent_occurrence_ids,t_up,t_down,t_rearm,t_up_s,t_down_s,t_rearm_s,dt,raw_relation_track_ref,typed_input_provenance,resource_ref,generation_depth
cal_C3_m,relation.r_rho:d2_rho0#e1,relation.r_rho:d2_rho0,occ.thermal:thermpt28_warm#e1|occ.thermal:thermpt31_warm#e1,2617,3515,3971,2.617,3.515,3.971,0.001,research/d2_recursive_v1/data/relation_traces/cal_C3_m.csv,N1_phase,research/d2_recursive_v1/data/relation_rebuild_ledger.csv#cal_C3_m,1
cal_C2_sim,relation.r_rho:d2_rho0#e1,relation.r_rho:d2_rho0,occ.thermal:thermpt28_warm#e1|occ.thermal:thermpt31_warm#e1,1961,3127,3583,1.961,3.1270000000000002,3.583,0.001,research/d2_recursive_v1/data/relation_traces/cal_C2_sim.csv,N1_phase,research/d2_recursive_v1/data/relation_rebuild_ledger.csv#cal_C2_sim,1
cal_C5_weak,relation.r_rho:d2_rho0#e1,relation.r_rho:d2_rho0,occ.thermal:thermpt28_warm#e1|occ.thermal:thermpt31_warm#e1,2142,3406,3862,2.142,3.406,3.862,0.001,research/d2_recursive_v1/data/relation_traces/cal_C5_weak.csv,N1_phase,research/d2_recursive_v1/data/relation_rebuild_ledger.csv#cal_C5_weak,1
cal_C5_strong,relation.r_rho:d2_rho0#e1,relation.r_rho:d2_rho0,occ.thermal:thermpt28_warm#e1|occ.thermal:thermpt31_warm#e1,2032,3210,3666,2.032,3.21,3.666,0.001,research/d2_recursive_v1/data/relation_traces/cal_C5_strong.csv,N1_phase,research/d2_recursive_v1/data/relation_rebuild_ledger.csv#cal_C5_strong,1
