k,t_phys,u_C,col_C,sup_C,epoch_C,energy_C
6486,6.486,0.0,0.05784786607027382,0,1,
6487,6.487,0.0,0.05502659235062095,0,1,
6488,6.488,0.0,0.052342913773916554,0,1,
6489,6.489,0.0,0.04979011974585314,0,1,
6490,6.49,0.0,0.04736182695166952,0,1,
6491,6.4910000000000005,0.0,0.045051963394539,0,1,
6492,6.492,0.0,0.04285475321241457,0,1,
6493,6.493,0.0,0.040764702235365234,0,1,
6494,6.494,0.0,0.03877658424728944,0,1,
6495,6.495,0.0,0.03688542791765259,0,1,
6496,6.496,0.0,0.035086504370571245,0,1,
6497,6.497,0.0,0.03337531536016027,0,1,
6498,6.498,0.0,0.0317475820225751,0,1,
6499,6.4990000000000006,0.0,0.030199234176623325,0,1,
6500,6.5,0.0,0.0287264001461917,0,1,3.6204704554882996
6501,6.501,0.0,0.02732539707903916,0,1,
6502,6.502,0.0,0.02599272173774791,0,1,
6503,6.503,0.0,0.024725041739805144,0,1,
6504,6.5040000000000004,0.0,0.02351918722491098,0,1,
6505,6.505,0.0,0.022372142928676616,0,1,
6506,6.506,0.0,0.021281040642892775,0,1,
6507,6.507000000000001,0.0,0.0202431520435152,0,1,
6508,6.508,0.0,0.019255881868433414,0,1,
6509,6.509,0.0,0.01831676142796365,0,1,
6510,6.51,0.0,0.01742344243183874,0,1,
6511,6.511,0.0,0.016573691117259284,0,1,
6512,6.5120000000000005,0.0,0.015765382663323144,0,1,
6513,6.513,0.0,0.014996495877866408,0,1,
6514,6.514,0.0,0.014265108143430193,0,1,
6515,6.515000000000001,0.0,0.013569390609715551,0,1,
6516,6.516,0.0,0.012907603620505116,0,1,
6517,6.517,0.0,0.012278092363616414,0,1,
6518,6.518,0.0,0.011679282733009453,0,1,
6519,6.519,0.0,0.011109677392701708,0,1,
6520,6.5200000000000005,0.0,0.010567852032648239,0,1,
6521,6.521,0.0,0.010052451807224685,0,1,
6522,6.522,0.0,0.0095621879474075,0,1,
6523,6.523000000000001,0.0,0.0090958345381801,0,1,
6524,6.524,0.0,0.008652225453106774,0,1,
6525,6.525,0.0,0.008230251438409187,0,1,
6526,6.526,0.0,0.007828857339254144,0,1,
6527,6.527,0.0,0.00744703946131691,0,1,
6528,6.5280000000000005,0.0,0.007083843061022592,0,1,
6529,6.529,0.0,0.0067383599581898965,0,1,
6530,6.53,0.0,0.00640972626510763,0,1,
6531,6.531,0.0,0.006097120226365442,0,1,
6532,6.532,0.0,0.005799760164037263,0,1,
6533,6.533,0.0,0.005516902523079332,0,1,
6534,6.534,0.0,0.00524784001205529,0,1,
6535,6.535,0.0,0.004991899834539174,0,1,
6536,6.5360000000000005,0.0,0.004748442006773908,0,1,
6537,6.537,0.0,0.00451685775737856,0,1,
6538,6.538,0.0,0.004296568005102794,0,1,
6539,6.539,0.0,0.004087021910822111,0,1,
6540,6.54,0.0,0.003887695500153125,0,1,
6541,6.541,0.0,0.003698090353244673,0,1,
6542,6.542,0.0,0.0035177323584685725,0,1,
6543,6.543,0.0,0.0033461705268936,0,1,
6544,6.5440000000000005,0.0,0.00318297586457825,0,1,
6545,6.545,0.0,0.0030277402998624314,0,1,
6546,6.546,0.0,0.00288007566297576,0,1,
6547,6.547,0.0,0.0027396127154109447,0,1,
6548,6.548,0.0,0.0026060002266351913,0,1,
6549,6.549,0.0,0.002478904095830923,0,1,
6550,6.55,0.0,0.0023580065164697118,0,1,
6551,6.551,0.0,0.0022430051816304175,0,1,
6552,6.5520000000000005,0.0,0.0021336125280744214,0,1,
6553,6.553,0.0,0.0020295550171877453,0,1,
6554,6.554,0.0,0.0019305724509920358,0,1,
6555,6.555,0.0,0.0018364173215140872,0,1,
6556,6.556,0.0,0.0017468541918869878,0,1,
6557,6.557,0.0,0.0016616591076353193,0,1,
6558,6.558,0.0,0.0015806190366723148,0,1,
6559,6.559,0.0,0.001503531336608679,0,1,
6560,6.5600000000000005,0.0,0.001430203248041063,0,1,
6561,6.561,0.0,0.0013604514125531524,0,1,
6562,6.562,0.0,0.0012941014142241185,0,1,
6563,6.563,0.0,0.0012309873434979684,0,1,
6564,6.564,0.0,0.0011709513823232353,0,1,
