k,t_phys,u_C,col_C,sup_C,epoch_C,energy_C
2276,2.2760000000000002,0.0,0.5220488278865741,0,1,
2277,2.277,0.0,0.4965882061118182,0,1,
2278,2.278,0.0,0.4723693135135868,0,1,
2279,2.279,0.0,0.44933159024532654,0,1,
2280,2.2800000000000002,0.0,0.42741742999905263,0,1,
2281,2.281,0.0,0.40657203595957303,0,1,
2282,2.282,0.0,0.38674328378390826,0,1,
2283,2.283,0.0,0.3678815912632834,0,1,
2284,2.2840000000000003,0.0,0.34993979434177996,0,1,
2285,2.285,0.0,0.3328730291816296,0,1,
2286,2.286,0.0,0.3166386199802509,0,1,
2287,2.287,0.0,0.30119597225851436,0,1,
2288,2.2880000000000003,0.0,0.2865064713533996,0,1,
2289,2.289,0.0,0.2725333858612246,0,1,
2290,2.29,0.0,0.25924177579000374,0,1,
2291,2.291,0.0,0.24659840519126838,0,1,
2292,2.2920000000000003,0.0,0.2345716590528841,0,1,
2293,2.293,0.0,0.22313146424505265,0,1,
2294,2.294,0.0,0.2122492143218231,0,1,
2295,2.295,0.0,0.20189769799007648,0,1,
2296,2.2960000000000003,0.0,0.1920510310671194,0,1,
2297,2.297,0.0,0.18268459175674473,0,1,
2298,2.298,0.0,0.17377495908191617,0,1,
2299,2.299,0.0,0.16529985432012625,0,1,
2300,2.3000000000000003,0.0,0.15723808529498556,0,1,3.600497734258442
2301,2.301,0.0,0.1495694933847433,0,1,
2302,2.302,0.0,0.14227490311523272,0,1,
2303,2.303,0.0,0.13533607421119767,0,1,
2304,2.3040000000000003,0.0,0.12873565598610348,0,1,
2305,2.305,0.0,0.12245714395638312,0,1,
2306,2.306,0.0,0.1164848385716314,0,1,
2307,2.307,0.0,0.11080380595755152,0,1,
2308,2.308,0.0,0.10539984057349051,0,1,
2309,2.309,0.0,0.10025942969118838,0,1,
2310,2.31,0.0,0.09536971960591892,0,1,
2311,2.311,0.0,0.09071848349553271,0,1,
2312,2.312,0.0,0.0862940908470331,0,1,
2313,2.313,0.0,0.08208547837423563,0,1,
2314,2.314,0.0,0.07808212235378996,0,1,
2315,2.315,0.0,0.07427401231038996,0,1,
2316,2.316,0.0,0.0706516259853712,0,1,
2317,2.317,0.0,0.06720590552610434,0,1,
2318,2.318,0.0,0.06392823483664559,0,1,
2319,2.319,0.0,0.06081041803300888,0,1,
2320,2.32,0.0,0.057844658949186875,0,1,
2321,2.321,0.0,0.05502354164267511,0,1,
2322,2.322,0.0,0.05234001185075292,0,1,
2323,2.323,0.0,0.04978735935115225,0,1,
2324,2.324,0.0,0.047359201183006794,0,1,
2325,2.325,0.0,0.045049465686125084,0,1,
2326,2.326,0.0,0.04285237731867743,0,1,
2327,2.327,0.0,0.040762442215332984,0,1,
2328,2.328,0.0,0.0387744344497348,0,1,
2329,2.329,0.0,0.03688338296696189,0,1,
2330,2.33,0.0,0.0350845591533026,0,1,
2331,2.331,0.0,0.03337346501225729,0,1,
2332,2.332,0.0,0.031745821917204216,0,1,
2333,2.333,0.0,0.03019755991260432,0,1,
2334,2.334,0.0,0.02872480753699244,0,1,
2335,2.335,0.0,0.027323882142307094,0,1,
2336,2.336,0.0,0.025991280685352114,0,1,
2337,2.337,0.0,0.024723670968364014,0,1,
2338,2.338,0.0,0.023517883306781912,0,1,
2339,2.339,0.0,0.022370902603385107,0,1,
2340,2.34,0.0,0.02127986080897954,0,1,
2341,2.341,0.0,0.020242029750780908,0,1,
2342,2.342,0.0,0.019254814310561655,0,1,
2343,2.343,0.0,0.018315745935503676,0,1,
2344,2.344,0.0,0.017422476465530454,0,1,
2345,2.345,0.0,0.016572772261683768,0,1,
2346,2.346,0.0,0.015764508620862847,0,1,
2347,2.347,0.0,0.01499566446295991,0,1,
2348,2.348,0.0,0.014264317277107164,0,1,
2349,2.349,0.0,0.01356863831439824,0,1,
2350,2.35,0.0,0.012906888015063376,0,1,
2351,2.351,0.0,0.012277411658663898,0,1,
2352,2.352,0.0,0.011678635226429217,0,1,
2353,2.353,0.0,0.01110906146539003,0,1,
2354,2.354,0.0,0.010567266144466018,0,1,
2355,2.355,0.0,0.01005189449314629,0,1,
2356,2.356,0.0,0.009561657813857441,0,1,
2357,2.357,0.0,0.00909533025954837,0,1,
2358,2.358,0.0,0.008651745768434126,0,1,
2359,2.359,0.0,0.008229795148234081,0,1,
2360,2.36,0.0,0.007828423302613473,0,1,
2361,2.361,0.0,0.007446626592892993,0,1,
2362,2.362,0.0,0.007083450328429315,0,1,
2363,2.363,0.0,0.006737986379391211,0,1,
2364,2.364,0.0,0.0064093709059619515,0,1,
2365,2.365,0.0,0.006096782198289807,0,1,
2366,2.366,0.0,0.005799438621785411,0,1,
2367,2.367,0.0,0.005516596662628151,0,1,
2368,2.368,0.0,0.005247549068594336,0,1,
2369,2.369,0.0,0.004991623080558248,0,1,
2370,2.37,0.0,0.004748178750243904,0,1,
2371,2.371,0.0,0.0045166073400210284,0,1,
2372,2.372,0.0,0.004296329800743903,0,1,
2373,2.373,0.0,0.0040867953238268905,0,1,
2374,2.374,0.0,0.003887479963936062,0,1,
2375,2.375,0.0,0.0036978853288529567,0,1,
2376,2.376,0.0,0.0035175373332344316,0,1,
2377,2.3770000000000002,0.0,0.0033459850131523647,0,1,
2378,2.378,0.0,0.003182799398448938,0,1,
2379,2.379,0.0,0.003027572440087802,0,1,
2380,2.38,0.0,0.0028799159898189428,0,1,
2381,2.3810000000000002,0.0,0.002739460829605877,0,1,
2382,2.382,0.0,0.002605855748388247,0,1,
2383,2.383,0.0,0.0024787666638712296,0,1,
2384,2.384,0.0,0.0023578757871457845,0,1,
2385,2.3850000000000002,0.0,0.0022428808280508528,0,1,
2386,2.386,0.0,0.0021334942392904977,0,1,
2387,2.387,0.0,0.0020294424974158887,0,1,
2388,2.388,0.0,0.0019304654188742076,0,1,
2389,2.3890000000000002,0.0,0.0018363155094142424,0,1,
2390,2.39,0.0,0.0017467573452218453,0,1,
2391,2.391,0.0,0.0016615669842377709,0,1,
2392,2.392,0.0,0.0015805314061858818,0,1,
2393,2.3930000000000002,0.0,0.0015034479799115007,0,1,
2394,2.394,0.0,0.0014301239566979777,0,1,
2395,2.395,0.0,0.0013603759882945014,0,1,
2396,2.396,0.0,0.0012940296684499687,0,1,
2397,2.3970000000000002,0.0,0.0012309190968065136,0,1,
2398,2.398,0.0,0.0011708864640621985,0,1,
2399,2.399,0.0,0.001113781657365561,0,1,
2400,2.4,0.0,0.001059461884955294,0,1,3.601387394393666
2401,2.4010000000000002,0.0,0.001007791319106466,0,1,
2402,2.402,0.0,0.000958640756490459,0,1,
2403,2.403,0.0,0.0009118872950993484,0,1,
2404,2.404,0.0,0.000867414026926866,0,1,
2405,2.4050000000000002,0.0,0.0008251097456374896,0,1,
2406,2.406,0.0,0.0007848686684926797,0,1,
2407,2.407,0.0,0.0007465901718389334,0,1,
2408,2.408,0.0,0.0007101785394962377,0,1,
2409,2.4090000000000003,0.0,0.0006755427234177638,0,1,
2410,2.41,0.0,0.0006425961160223245,0,1,
2411,2.411,0.0,0.0006112563336303098,0,1,
2412,2.412,0.0,0.000581445010461576,0,1,
2413,2.4130000000000003,0.0,0.0005530876026801767,0,1,
2414,2.414,0.0,0.000526113201995944,0,1,
2415,2.415,0.0,0.0005004543583568297,0,1,
2416,2.416,0.0,0.00047604691128864116,0,1,
2417,2.4170000000000003,0.0,0.0004528298294604366,0,1,
2418,2.418,0.0,0.0004307450580744076,0,1,
2419,2.419,0.0,0.00040973737369864535,0,1,
2420,2.42,0.0,0.0003897542461797964,0,1,
2421,2.4210000000000003,0.0,0.00037074570729031737,0,1,
2422,2.422,0.0,0.00035266422578187874,0,1,
2423,2.423,0.0,0.0003354645885324864,0,1,
2424,2.424,0.0,0.0003191037874901259,0,1,
2425,2.4250000000000003,0.0,0.0003035409121302306,0,1,
2426,2.426,0.0,0.00028873704715806105,0,1,
2427,2.427,0.0,0.00027465517520019794,0,1,
2428,2.428,0.0,0.0002612600842418271,0,1,
2429,2.4290000000000003,0.0,0.00024851827957836126,0,1,
2430,2.43,0.0,0.00023639790006123212,0,1,
2431,2.431,0.0,0.00022486863842842314,0,1,
2432,2.432,0.0,0.00021390166552052808,0,1,
2433,2.433,0.0,0.00020346955819283615,0,1,
2434,2.434,0.0,0.00019354623074318607,0,1,
2435,2.435,0.0,0.0001841068696841233,0,1,
2436,2.436,0.0,0.00017512787169625654,0,1,
2437,2.437,0.0,0.00016658678460766498,0,1,
2438,2.438,0.0,0.00015846225125177357,0,1,
2439,2.439,0.0,0.0001507339560633121,0,1,
2440,2.44,0.0,0.00014338257427882028,0,1,
2441,2.441,0.0,0.0001363897236146731,0,1,
2442,2.442,0.0,0.00012973791830179693,0,1,
2443,2.443,0.0,0.00012341052536213895,0,1,
2444,2.444,0.0,0.0001173917230175582,0,1,
2445,2.445,0.0,0.00011166646112713912,0,1,
2446,2.446,0.0,0.0001062204235539999,0,1,
2447,2.447,0.0,0.0001010399923674934,0,1,
2448,2.448,0.0,9.611221379128729e-05,0,1,
2449,2.449,0.0,9.14247658121758e-05,0,1,
2450,2.45,0.0,8.696592736862854e-05,0,1,
2451,2.451,0.0,8.272454904203142e-05,0,1,
2452,2.452,0.0,7.869002517733264e-05,0,1,
2453,2.453,0.0,7.485226736338082e-05,0,1,
2454,2.454,0.0,7.120167920664232e-05,0,1,
2455,2.455,0.0,6.772913233521882e-05,0,1,
2456,2.456,0.0,6.44259435731629e-05,0,1,
2457,2.457,0.0,6.128385322801522e-05,0,1,
2458,2.458,0.0,5.8295004437271145e-05,0,1,
2459,2.459,0.0,5.5451923522132e-05,0,1,
2460,2.46,0.0,5.274750129941523e-05,0,1,
