episode_id,candidate,status,attribution,zero_occ,sat_occ,u_min,u_max,boundary_rel_var,strata
cal015,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.8077,0.0553,0.0,0.04,1.0,three_source;staggered_source
cal015,A,QUALIFIED,-,0.1008,0.0,0.0,0.24482259655881058,1.0,three_source;staggered_source
cal015,B,QUALIFIED,-,0.1008,0.0,-0.7337032968359668,0.8209504668097102,1.0,three_source;staggered_source
cal016,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.9999,0.0,0.0,0.00012480392404333462,1.0,strong_dissipation;staggered_source
cal016,A,QUALIFIED,-,0.3366,0.0,0.0,0.055154752742793335,1.0,strong_dissipation;staggered_source
cal016,B,QUALIFIED,-,0.3051,0.0,-0.5566165862701431,0.9274072846119263,1.0,strong_dissipation;staggered_source
cal017,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.9659,0.0063,0.0,0.04,1.0,three_source;high_dof;staggered_source
cal017,A,QUALIFIED,-,0.01,0.0,0.0,0.1982750028532971,1.0,three_source;high_dof;staggered_source
cal017,B,QUALIFIED,-,0.0089,0.0,-0.8730191735134801,0.9367442714381032,1.0,three_source;high_dof;staggered_source
cal018,legacy,DEGRADED,TRANSDUCTION_LOSS(partial),0.9998,0.0,0.0,0.009865738840434152,1.0,high_dof
cal018,A,QUALIFIED,-,0.1477,0.0,0.0,0.0648956769780542,1.0,high_dof
cal018,B,QUALIFIED,-,0.1464,0.0,-0.6062011637923406,1.167363955102664,1.0,high_dof
cal019,legacy,SEMANTIC_FAIL,TRANSDUCTION_LOSS,1.0,0.0,0.0,0.0,1.0,three_source;staggered_source;reduced_non_node0
cal019,A,QUALIFIED,-,0.0382,0.0,0.0,0.040788736201064775,1.0,three_source;staggered_source;reduced_non_node0
cal019,B,QUALIFIED,-,0.038,0.0,-0.1662922050429496,0.23052614900291857,1.0,three_source;staggered_source;reduced_non_node0
