k,t_phys,u_A,col_A,sup_A,epoch_A,u_B,col_B,sup_B,epoch_B,energy_A,energy_B
7053,7.053,0.0,0.0002248673246197303,0,1,0.0,1.452470415475784e-09,0,1,,
7054,7.054,0.0,0.0002139004157870413,0,1,0.0,1.3816325974173431e-09,0,1,,
7055,7.055,0.0,0.00020346836940957072,0,1,0.0,1.314249580512726e-09,0,1,,
7056,7.056,0.0,0.00019354509993756464,0,1,0.0,1.250152872121425e-09,0,1,,
7057,7.057,0.0,0.00018410579402854279,0,1,0.0,1.1891821970859778e-09,0,1,,
7058,7.058,0.0,0.00017512684850101774,0,1,0.0,1.1311850969605893e-09,0,1,,
7059,7.059,0.0,0.00016658581131424684,0,1,0.0,1.0760165487856057e-09,0,1,,
7060,7.0600000000000005,0.0,0.00015846132542643557,0,1,0.0,1.023538602454576e-09,0,1,,
7061,7.061,0.0,0.00015073307539100866,0,1,0.0,9.736200357671315e-10,0,1,,
7062,7.062,0.0,0.0001433817365574119,0,1,0.0,9.261360263051331e-10,0,1,,
7063,7.063,0.0,0.0001363889267494199,0,1,0.0,8.809678393116099e-10,0,1,,
7064,7.064,0.0,0.00012973716030012072,0,1,0.0,8.380025307920202e-10,0,1,,
7065,7.065,0.0,0.00012340980432864072,0,1,0.0,7.971326650954352e-10,0,1,,
7066,7.066,0.0,0.00011739103714927864,0,1,0.0,7.582560462694512e-10,0,1,,
7067,7.067,0.0,0.00011166580870905026,0,1,0.0,7.212754625170769e-10,0,1,,
7068,7.0680000000000005,0.0,0.0001062198029547167,0,1,0.0,6.860984431166053e-10,0,1,,
7069,7.069,0.0,0.00010103940203519441,0,1,0.0,6.526370271966443e-10,0,1,,
7070,7.07,0.0,9.611165224983425e-05,0,1,0.0,6.208075437881208e-10,0,1,,
7071,7.071,0.0,9.142423165742259e-05,0,1,0.0,5.90530402603276e-10,0,1,,
7072,7.072,0.0,8.696541926491004e-05,0,1,0.0,5.617298950184892e-10,0,1,,
7073,7.073,0.0,8.272406571882368e-05,0,1,0.0,5.34334004763284e-10,0,1,,
7074,7.074,0.0,7.868956542607589e-05,0,1,0.0,5.082742278421404e-10,0,1,,
7075,7.075,0.0,7.485183003445746e-05,0,1,0.0,4.83485401238824e-10,0,1,,
7076,7.0760000000000005,0.0,7.120126320650223e-05,0,1,0.0,4.5990553997490334e-10,0,1,,
7077,7.077,0.0,6.772873662364499e-05,0,1,0.0,4.3747568211501745e-10,0,1,,
7078,7.078,0.0,6.442556716067026e-05,0,1,0.0,1.0000000004161398,0,1,,
7079,7.079,0.0,6.128349517337647e-05,0,1,0.0,0.9512294248965584,0,1,,
7080,7.08,0.0,5.829466384516318e-05,0,1,0.0,0.9048374184124984,0,1,,
7081,7.081,0.0,5.5451599540897154e-05,0,1,0.0,0.8607079767832326,0,1,,
7082,7.082,0.0,5.2747193118931655e-05,0,1,0.0,0.8187307534186883,0,1,,
7083,7.083,0.0,5.017468215454938e-05,0,1,0.0,0.7788007833954949,0,1,,
7084,7.0840000000000005,0.0,4.772763403037825e-05,0,1,0.0,0.7408182209900018,0,1,,
7085,7.085,0.0,4.539992985149739e-05,0,1,0.0,0.7046880900119622,0,1,,
7086,7.086,0.0,4.3185749145012653e-05,0,1,0.0,0.6703200463145862,0,1,,
7087,7.087,0.0,4.1079555305842587e-05,0,1,0.0,0.6376281518871157,0,1,,
7088,7.088,0.0,3.9076081752321895e-05,0,1,0.0,0.606530659965035,0,1,,
7089,7.089,0.0,3.717031875700401e-05,0,1,0.0,0.5769498106205785,0,1,,
7090,7.09,0.0,3.535750091973302e-05,0,1,0.0,0.5488116363224088,0,1,,
7091,7.091,0.0,3.3633095251661106e-05,0,1,0.0,0.52204577697826,0,1,,
7092,7.0920000000000005,0.0,3.199278984041529e-05,0,1,0.0,0.4965853039980584,0,1,,
7093,7.093,0.0,3.0432483068070526e-05,0,1,0.0,0.4723665529375852,0,1,,
7094,7.094,0.0,2.894827335496845e-05,0,1,0.0,0.44932896430420527,0,1,,
7095,7.095,0.0,2.753644940373599e-05,0,1,0.0,0.42741493212659104,0,1,,
7096,7.096,0.0,2.6193480919108815e-05,0,1,0.0,0.40656965990978894,0,1,,
7097,7.097,0.0,2.491600978035431e-05,0,1,0.0,0.38674102361543955,0,1,,
7098,7.098,0.0,2.3700841644220595e-05,0,1,0.0,0.3678794413245316,0,1,,
7099,7.099,0.0,2.2544937957414513e-05,0,1,0.0,0.3499377492567784,0,1,,
7100,7.1000000000000005,0.0,2.144540835863571e-05,0,1,0.0,0.33287108383660047,0,1,7.3501692873614495,7.347858869996346
7101,7.101,0.0,2.039950345116785e-05,0,1,0.0,0.31663676951081837,0,1,,
7102,7.102,0.0,1.9404607927954724e-05,0,1,0.0,0.301194212037541,0,1,,
7103,7.103,0.0,1.8458234031970366e-05,0,1,0.0,0.28650479697941617,0,1,,
7104,7.104,0.0,1.7558015335530667e-05,0,1,0.0,0.27253179314742393,0,1,,
7105,7.105,0.0,1.6701700822991546e-05,0,1,0.0,0.2592402607537717,0,1,,
7106,7.106,0.0,1.588714926203735e-05,0,1,0.0,0.2465969640442253,0,1,,
7107,7.107,0.0,1.5112323849484732e-05,0,1,0.0,0.23457028819141168,0,1,,
7108,7.1080000000000005,0.0,1.4375287118213777e-05,0,1,0.0,0.22313016024128315,0,1,,
7109,7.109,0.0,1.3674196092491018e-05,0,1,0.0,0.21224797391506786,0,1,,
7110,7.11,0.0,1.3007297679570144e-05,0,1,0.0,0.20189651807867257,0,1,,
7111,7.111,0.0,1.237292428604698e-05,0,1,0.0,0.1920499087006737,0,1,,
7112,7.112,0.0,1.1769489648007377e-05,0,1,0.0,0.18268352412875652,0,1,,
7113,7.113,0.0,1.1195484864541168e-05,0,1,0.0,0.17377394352275938,0,1,,
7114,7.114,0.0,1.064947462470395e-05,0,1,0.0,0.16529888829037398,0,1,,
7115,7.115,0.0,1.0130093618492097e-05,0,1,0.0,0.15723716637906027,0,1,,
