k,t_phys,u_A,col_A,sup_A,epoch_A,u_B,col_B,sup_B,epoch_B,energy_A,energy_B
4250,4.25,0.0,0.005799934967121968,0,1,0.0,0.004991761797676466,0,1,,
4251,4.251,0.0,0.005517068800916998,0,1,0.0,0.004748310702048434,0,1,,
4252,4.252,0.0,0.00524799818042712,0,1,0.0,0.004516732856460113,0,1,,
4253,4.253,0.0,0.004992050288948484,0,1,0.0,0.0042964491956740195,0,1,,
4254,4.2540000000000004,0.0,0.004748585123435089,0,1,0.0,0.0040869088957975535,0,1,,
4255,4.255,0.0,0.0045169938941578116,0,1,0.0,0.0038875879969363556,0,1,,
4256,4.256,0.0,0.0042966975024129744,0,1,0.0,0.003697988093021653,0,1,,
4257,4.257,0.0,0.004087145092473949,0,1,0.0,0.00351763508553548,0,1,,
4258,4.258,0.0,0.003887812674164912,0,1,0.0,0.0033460779980174346,0,1,,
4259,4.259,0.0,0.003698201812612471,0,1,0.0,0.0031828878483886255,0,1,,
4260,4.26,0.0,0.003517838381898858,0,1,0.0,0.003027656576273028,0,1,,
4261,4.261,0.0,0.003346271379500174,0,1,0.0,0.0028799960226339946,0,1,,
4262,4.2620000000000005,0.0,0.003183071798545161,0,1,0.0,0.00273953695917448,0,1,,
4263,4.263,0.0,0.003027831555074566,0,1,0.0,0.002605928165073977,0,1,,
4264,4.264,0.0,0.0028801624676186815,0,1,0.0,0.002478835548753521,0,1,,
4265,4.265,0.0,0.002739695286541475,0,1,0.0,0.002357941312472723,0,1,,
4266,4.266,0.0,0.002606078770724166,0,1,0.0,0.0022429431576698865,0,1,,
4267,4.267,0.0,0.0024789788092794765,0,1,0.0,0.0021335535290581405,0,1,,
4268,4.268,0.0,0.002358077586100382,0,1,0.0,0.0020294988955874426,0,1,,
4269,4.269,0.0,0.0022430727851542993,0,1,0.0,0.0019305190664744777,0,1,,
4270,4.2700000000000005,0.0,0.0021336768345355376,0,1,0.0,0.0018363665405901732,0,1,,
4271,4.271,0.0,0.0020296161873857447,0,1,0.0,0.0017468058875779575,0,1,,
4272,4.272,0.0,0.0019306306378842752,0,1,0.0,0.0016616131591552395,0,1,,
4273,4.273,0.0,0.0018364726705981055,0,1,0.0,0.0015805753291260518,0,1,,
4274,4.274,0.0,0.0017469068415643253,0,1,0.0,0.0015034897607046009,0,1,,
4275,4.275,0.0,0.001661709189557593,0,1,0.0,0.0014301636998177538,0,1,,
4276,4.276,0.0,0.0015806666760704172,0,1,0.0,0.0013604137931194538,0,1,,
4277,4.277,0.0,0.0015035766526059196,0,1,0.0,0.0012940656295118513,0,1,,
4278,4.2780000000000005,0.0,0.0014302463539510389,0,1,0.0,0.0012309533040267126,0,1,,
4279,4.279,0.0,0.0013604924161630912,0,1,0.0,0.0011709190029765822,0,1,,
4280,4.28,0.0,0.0012941404180644032,0,1,0.0,0.001113812609338364,0,1,,
4281,4.281,0.0,0.0012310244450985158,0,1,0.0,0.0010594913273825708,0,1,,
4282,4.282,0.0,0.001170986674457372,0,1,0.0,0.0010078193256096203,0,1,,
4283,4.283,0.0,0.001113876980442091,0,1,0.0,0.0009586673971003368,0,1,,
4284,4.284,0.0,0.0010595525590705232,0,1,0.0,0.0009119126364313508,0,1,,
4285,4.285,0.0,0.0010078775709929126,0,1,0.0,0.0008674381323475227,0,1,,
4286,4.2860000000000005,0.0,0.0009587228018227658,0,1,0.0,0.0008251326754229083,0,1,,
4287,4.287,0.0,0.0009119653390335816,0,1,0.0,0.0007848904799792675,0,1,,
4288,4.288,0.0,0.0008674882646135124,0,1,0.0,0.0007466109195667678,0,1,,
4289,4.289,0.0,0.0008251803627094345,0,1,0.0,0.0007101982753454453,0,1,,
4290,4.29,0.0,0.0007849358415293858,0,1,0.0,0.0006755614967382476,0,1,,
4291,4.291,0.0,0.0007466540688079814,0,1,0.0,0.0006426139737571643,0,1,,
4292,4.292,0.0,0.0007102393201733326,0,1,0.0,0.0006112733204331444,0,1,,
4293,4.293,0.0,0.0006756005397862575,0,1,0.0,0.0005814611688082605,0,1,,
4294,4.2940000000000005,0.0,0.0006426511126532535,0,1,0.0,0.0005531029729749942,0,1,,
4295,4.295,0.0,0.0006113086480438979,0,1,0.0,0.0005261278226726377,0,1,,
4296,4.296,0.0,0.0005814947734711065,0,1,0.0,0.0005004682659747069,0,1,,
4297,4.297,0.0,0.0005531349387190937,0,1,0.0,0.0004760601406239907,0,1,,
4298,4.298,0.0,0.0005261582294290013,0,1,0.0,0.00045284241359348765,0,1,,
4299,4.299,0.0,0.0005004971897760635,0,1,0.0,0.00043075702847204756,0,1,,
4300,4.3,0.0,0.0004760876537949095,0,1,0.0,0.00040974876029310347,0,1,3.618968478976607,3.6040803916912485
4301,4.301,0.0,0.000452868584931227,0,1,0.0,0.0003897650774434898,0,1,,
4302,4.3020000000000005,0.0,0.00043078192341858377,0,1,0.0,0.000370756010307047,0,1,,
4303,4.303,0.0,0.0004097724410987701,0,1,0.0,0.0003526740263145531,0,1,,
4304,4.304,0.0,0.00038978760332263583,0,1,0.0,0.00033547391108754203,0,1,,
4305,4.305,0.0,0.0003707774375861035,0,1,0.0,0.0003191126553788063,0,1,,
4306,4.306,0.0,0.0003526944085728786,0,1,0.0,0.0003035493475268766,0,1,,
4307,4.307,0.0,0.00033549329929139903,0,1,0.0,0.00028874507115555804,0,1,,
4308,4.308,0.0,0.0003191310980088033,0,1,0.0,0.00027466280786271917,0,1,,
4309,4.309,0.0,0.0003035668906991949,0,1,0.0,0.00026126734465500455,0,1,,
4310,4.3100000000000005,0.0,0.00028876175873726633,0,1,0.0,0.0002485251858970097,0,1,,
4311,4.311,0.0,0.0002746786815814639,0,1,0.0,0.0002364044695547455,0,1,,
4312,4.312,0.0,0.00026128244420335075,0,1,0.0,0.00022487488752395712,0,1,,
4313,4.313,0.0,0.00024853954903169325,0,1,0.0,0.00021390760984407652,0,1,,
4314,4.314,0.0,0.00023641813219108456,0,1,0.0,0.00020347521260830417,0,1,,
4315,4.315,0.0,0.0002248878838256591,0,1,0.0,0.00019355160938955762,0,1,,
4316,4.316,0.0,0.00021391997230866514,0,1,0.0,0.0001841119860108159,0,1,,
4317,4.317,0.0,0.00020348697214838022,0,1,0.0,0.0001751327384967519,0,1,,
4318,4.3180000000000005,0.0,0.00019356279541009655,0,1,0.0,0.00016659141405149936,0,1,,
4319,4.319,0.0,0.0001841226264826956,0,1,0.0,0.0001584666549149679,0,1,,
4320,4.32,0.0,0.00017514286002669446,0,1,0.0,0.00015073814495731815,0,1,,
4321,4.321,0.0,0.00016660104194860168,0,1,0.0,0.00014338655887805496,0,1,,
4322,4.322,0.0,0.0001584758132539877,0,1,0.0,0.00013639351388270996,0,1,,
4323,4.323,0.0,0.00015074685663887333,0,1,0.0,0.00012974152371628033,0,1,,
4324,4.324,0.0,0.00014339484568588713,0,1,0.0,0.00012341395493848309,0,1,,
4325,4.325,0.0,0.0001364013965381551,0,1,0.0,0.00011739498533149032,0,1,,
4326,4.3260000000000005,0.0,0.00012974902193008296,0,1,0.0,0.0001116695643361433,0,1,,
4327,4.327,0.0,0.00012342108746008333,0,1,0.0,0.00010622337541771505,0,1,,
4328,4.328,0.0,0.00011740176999590736,0,1,0.0,0.00010104280026711638,0,1,,
4329,4.329,0.0,0.00011167601810857216,0,1,0.0,9.61148847480297e-05,0,1,,
4330,4.33,0.0,0.0001062295144359484,0,1,0.0,9.142730650482075e-05,0,1,,
4331,4.331,0.0,1.0001010486398818,0,1,0.0,8.696834415023103e-05,0,1,,
4332,4.332,0.0,0.9513255449402753,0,1,0.0,8.27268479558043e-05,0,1,,
4333,4.333,0.0,0.9049288506263663,0,1,0.0,7.869221197175778e-05,0,1,,
4334,4.3340000000000005,0.0,0.860794949795411,0,1,0.0,7.485434750658335e-05,0,1,,
4335,4.335,0.0,0.8188134847070099,0,1,0.0,7.120365790006373e-05,0,1,,
4336,4.336,0.0,0.7788794798312731,0,1,0.0,6.773101452662335e-05,0,1,,
4337,4.337,0.0,0.7408930793553175,0,1,0.0,6.442773396900943e-05,0,1,,
4338,4.338,0.0,0.7047592974917205,0,1,0.0,6.128555630522595e-05,0,1,,
4339,4.339,0.0,0.6703877809645769,0,1,0.0,5.829662445442618e-05,0,1,,
4340,4.34,0.0,0.6376925830792451,0,1,0.0,5.5453464530118065e-05,0,1,,
4341,4.341,0.0,0.6065919488108441,0,1,0.0,5.2748967151554966e-05,0,1,,
4342,4.3420000000000005,0.0,0.5770081103741058,0,1,0.0,5.01763696665807e-05,0,1,,
4343,4.343,0.0,0.5488670927634052,0,1,0.0,4.772923924147664e-05,0,1,,
4344,4.344,0.0,0.5220985287767139,0,1,0.0,4.540145677552672e-05,0,1,,
4345,4.345,0.0,0.4966354830609431,0,1,0.0,4.3187201600078325e-05,0,1,,
4346,4.346,0.0,0.47241428473869496,0,1,0.0,4.108093692383882e-05,0,1,,
4347,4.347,0.0,0.44937436819790527,0,1,0.0,3.9077395988013334e-05,0,1,,
4348,4.348,0.0,0.4274581216462654,0,1,0.0,3.717156889666444e-05,0,1,,
4349,4.349,0.0,0.4066107430517332,0,1,0.0,3.535869008936275e-05,0,1,,
4350,4.3500000000000005,0.0,0.38678010310890787,0,1,0.0,3.3634226424803633e-05,0,1,,
4351,4.351,0.0,0.36791661488861327,0,1,0.0,3.199386584559267e-05,0,1,,
4352,4.352,0.0,0.34997310984474644,0,1,0.0,3.0433506595856164e-05,0,1,,
4353,4.353,0.0,0.33290471986834336,0,1,0.0,2.8949246964714944e-05,0,1,,
4354,4.354,0.0,0.31666876509393566,0,1,0.0,2.7537375529974837e-05,0,1,,
4355,4.355,0.0,0.30122464717765624,0,1,0.0,2.619436187763801e-05,0,1,,
4356,4.356,0.0,0.28653374778023255,0,1,0.0,2.4916847774029048e-05,0,1,,
4357,4.357,0.0,0.27255933200102334,0,1,0.0,2.370163876846155e-05,0,1,,
4358,4.358,0.0,0.2592664565216325,0,1,0.0,2.254569620544749e-05,0,1,,
4359,4.359,0.0,0.24662188222941187,0,1,0.0,2.144612962647575e-05,0,1,,
4360,4.36,0.0,0.2345939911023663,0,1,0.0,2.040018954236024e-05,0,1,,
4361,4.361,0.0,0.22315270714762953,0,1,0.0,1.9405260558084814e-05,0,1,,
4362,4.362,0.0,0.21226942119581602,0,1,0.0,1.0000184588548329,0,1,,
4363,4.363,0.0,0.20191691936319572,0,1,0.0,0.9512469831065736,0,1,,
4364,4.364,0.0,0.19206931500280974,0,1,0.0,0.9048541202985064,0,1,,
4365,4.365,0.0,0.18270198397436907,0,1,0.0,0.8607238641086481,0,1,,
4366,4.366,0.0,0.17379150307107777,0,1,0.0,0.8187458659101001,0,1,,
4367,4.367,0.0,0.16531559144941538,0,1,0.0,0.7788151588420033,0,1,,
4368,4.368,0.0,0.15725305491542255,0,1,0.0,0.7408318953377109,0,1,,
4369,4.369,0.0,0.14958373292817656,0,1,0.0,0.7047010974538639,0,1,,
4370,4.37,0.0,0.1422884481879379,0,1,0.0,0.6703324193760606,0,1,,
4371,4.371,0.0,0.13534895868291183,0,1,0.0,0.6376399215072613,0,1,,
4372,4.372,0.0,0.12874791207471714,0,1,0.0,0.6065418555740326,0,1,,
4373,4.373,0.0,0.12246880230850171,0,1,0.0,0.5769604602132823,0,1,,
4374,4.374,0.0,0.1164959283392078,0,1,0.0,0.5488217665283476,0,1,,
4375,4.375,0.0,0.11081435487078106,0,1,0.0,0.5220554131282253,0,1,,
4376,4.376,0.0,0.10540987501015096,0,1,0.0,0.4965944701874443,0,1,,
4377,4.377,0.0,0.10026897474259809,0,1,0.0,0.4723752720866396,0,1,,
4378,4.378,0.0,0.09537879913967821,0,1,0.0,0.44933725821534237,0,1,,
4379,4.3790000000000004,0.0,0.0907271202152053,0,1,0.0,0.42742282153890887,0,1,,
4380,4.38,0.0,0.08630230634891684,0,1,0.0,0.4065771645509277,0,1,,
4381,4.381,0.0,0.08209329320136448,0,1,0.0,0.386748162250911,0,1,,
4382,4.382,0.0,0.0780895560473023,0,1,0.0,0.36788623180464286,0,1,,
4383,4.383,0.0,0.07428108345839163,0,1,0.0,0.3499442085612667,0,1,,
4384,4.384,0.0,0.07065835226941537,0,1,0.0,0.33287722811709153,0,1,,
4385,4.385,0.0,0.0672123037654047,0,1,0.0,0.31664261413121386,0,1,,
4386,4.386,0.0,0.06393432103013308,0,1,0.0,0.3011997716124362,0,1,,
4387,4.3870000000000005,0.0,0.06081620739933739,0,1,0.0,0.2865100854106442,0,1,,
4388,4.388,0.0,0.057850165964787766,0,1,0.0,0.2725368236588175,0,1,,
4389,4.389,0.0,0.055028780077955856,0,1,0.0,0.25924504592422953,0,1,,
4390,4.39,0.0,0.05234499480453031,0,1,0.0,0.24660151583916604,0,1,,
4391,4.391,0.0,0.04979209928340623,0,1,0.0,0.2345746179926936,0,1,,
4392,4.392,0.0,0.04736370994603692,0,1,0.0,0.22313427887566478,0,1,,
4393,4.393,0.0,0.04505375455418744,0,1,0.0,0.21225189168128045,0,1,,
4394,4.394,0.0,0.042856457016176144,0,1,0.0,0.20190024477317228,0,1,,
4395,4.3950000000000005,0.0,0.04076632294363682,0,1,0.0,0.19205345364213797,0,1,,
4396,4.396,0.0,0.03877812591268591,0,1,0.0,0.18268689618138545,0,1,,
4397,4.397,0.0,0.036886894395140445,0,1,0.0,0.17377715111844097,0,1,,
4398,4.398,0.0,0.03508789932710806,0,1,0.0,0.1653019394497682,0,1,,
4399,4.399,0.0,0.03337664228386399,0,1,0.0,0.1572400687316549,0,1,,
4400,4.4,0.0,0.031748844231446145,0,1,0.0,0.14957138008806478,0,1,3.6227061214884033,3.6032478388226865
4401,4.401,0.0,0.03020043482684133,0,1,0.0,0.1422766978029474,0,1,,
4402,4.402,0.0,0.0287275422400076,0,1,0.0,0.13533778137095967,0,1,,
4403,4.4030000000000005,0.0,0.027326483472282382,0,1,0.0,0.12873727988670142,0,1,,
4404,4.404,0.0,0.025993755146967442,0,1,0.0,0.12245868865841433,0,1,,
4405,4.405,0.0,0.02472602474906231,0,1,0.0,0.11648630793765558,0,1,,
4406,4.406,0.0,0.023520122292240955,0,1,0.0,0.11080520366174906,0,1,,
4407,4.407,0.0,0.022373032392234777,0,1,0.0,0.10540117011084997,0,1,,
4408,4.408,0.0,0.02128188672680132,0,1,0.0,0.10026069438624567,0,1,,
4409,4.409,0.0,0.020243956863424603,0,1,0.0,0.09537092262107044,0,1,,
4410,4.41,0.0,0.019256647436812664,0,1,0.0,0.09071962783894297,0,1,,
4411,4.4110000000000005,0.0,0.01831748965913246,0,1,0.0,0.08629517938015667,0,1,,
4412,4.412,0.0,0.01742413514675435,0,1,0.0,0.0820865138189723,0,1,,
4413,4.413,0.0,0.016574350048069803,0,1,0.0,0.07808310729929094,0,1,,
4414,4.414,0.0,0.01576600945769882,0,1,0.0,0.07427494921953202,0,1,,
4415,4.415,0.0,0.014997092103119664,0,1,0.0,0.0706525172009152,0,1,,
4416,4.416,0.0,0.01426567529043472,0,1,0.0,0.06720675327655336,0,1,,
4417,4.417,0.0,0.013569930096634274,0,1,0.0,0.06392904124181732,0,1,,
4418,4.418,0.0,0.01290811679633634,0,1,0.0,0.0608111851093363,0,1,,
4419,4.4190000000000005,0.0,0.012278580511567017,0,1,0.0,0.05784538861476036,0,1,,
4420,4.42,0.0,0.011679747073703577,0,1,0.0,0.05502423572203865,0,1,,
4421,4.421,0.0,0.011110119087232952,0,1,0.0,0.05234067207946645,0,1,,
4422,4.422,0.0,0.010568272185482999,0,1,0.0,0.04978798738013147,0,1,,
4423,4.423,0.0,0.010052851468963895,0,1,0.0,0.04735979858265127,0,1,,
4424,4.424,0.0,0.009562568117413683,0,1,0.0,0.0450500339502451,0,1,,
4425,4.425,0.0,0.009096196167076295,0,1,0.0,0.04285291786822928,0,1,,
4426,4.426,0.0,0.008652569445153585,0,1,0.0,0.0407629564019721,0,1,,
4427,4.4270000000000005,0.0,0.008230578653765907,0,1,0.0,0.038774923559195616,0,1,,
4428,4.428,0.0,0.007829168596129605,0,1,0.0,0.03688384822227282,0,1,,
4429,4.429,0.0,0.007447335538015428,0,1,0.0,0.03508500171784426,0,1,,
4430,4.43,0.0,0.007084124697890131,0,1,0.0,0.03337388599267156,0,1,,
4431,4.431,0.0,0.006738627859465324,0,1,0.0,0.03174622236616141,0,1,,
4432,4.432,0.0,0.006409981100683679,0,1,0.0,0.030197940831435413,0,1,,
4433,4.433,0.0,0.0060973626334637895,0,1,0.0,0.028725169878192923,0,1,,
4434,4.434,0.0,0.005799990748801919,0,1,0.0,0.0273242268119187,0,1,,
4435,4.4350000000000005,0.0,0.005517121862092314,0,1,0.0,0.025991608545228403,0,1,,
4436,4.436,0.0,0.0052480486537783795,0,1,0.0,0.024723982838325456,0,1,,
4437,4.437,0.0,0.004992098300685355,0,1,0.0,0.023518179966665855,0,1,,
4438,4.438,0.0,0.004748630793611922,0,1,0.0,0.022371184794995783,0,1,,
4439,4.439,0.0,0.0045170373369738375,0,1,0.0,0.021280129237942962,0,1,,
4440,4.44,0.0,0.004296738826497861,0,1,0.0,0.020242285088309303,0,1,,
4441,4.441,0.0,0.004087184401159434,0,1,0.0,0.019255057195131844,0,1,,
4442,4.442,0.0,0.0038878500657431835,0,1,0.0,0.018315976974453595,0,1,,
4443,4.4430000000000005,0.0,0.0036982373805819514,0,1,0.0,0.01742269623657782,0,1,,
4444,4.444,0.0,0.003517872215197998,0,1,0.0,0.016572981314370676,0,1,,
4445,4.445,0.0,0.0033463035627298433,0,1,0.0,0.015764707477929903,0,1,,
4446,4.446,0.0,0.0031831024121801977,0,1,0.0,0.014995853621653364,0,1,,
4447,4.447,0.0,0.003027860675665004,0,1,0.0,0.014264497210422278,0,1,,
4448,4.448,0.0,0.0028801901679811645,0,1,0.0,0.013568809472262024,0,1,,
4449,4.449,0.0,0.002739721635941338,0,1,0.0,0.012907050825459641,0,1,,
4450,4.45,0.0,0.0026061038350486333,0,1,0.0,0.01227756652870344,0,1,,
4451,4.4510000000000005,0.0,0.002479002651202415,0,1,0.0,0.011678782543367803,0,1,,
4452,4.452,0.0,0.0023581002652390175,0,1,0.0,0.01110920159759674,0,1,,
4453,4.453,0.0,0.0022430943582182916,0,1,0.0,0.01056739944234436,0,1,,
4454,4.454,0.0,0.002133697355468784,0,1,0.0,0.010052021290010392,0,1,,
4455,4.455,0.0,0.002029635707501267,0,1,0.0,0.00956177842676551,0,1,,
4456,4.456,0.0,0.0019306492059925297,0,1,0.0,0.009095444990095498,0,1,,
4457,4.457,0.0,0.0018364903331290344,0,1,0.0,0.008651854903506444,0,1,,
4458,4.458,0.0,0.001746923642683456,0,1,0.0,0.008229898960726114,0,1,,
4459,4.4590000000000005,0.0,0.0016617251712764747,0,1,0.0,0.007828522052110527,0,1,,
4460,4.46,0.0,0.0015806818783516716,0,1,0.0,0.007446720526320246,0,1,,
4461,4.461,0.0,0.0015035911134631682,0,1,0.0,0.007083539680669261,0,1,,
4462,4.462,0.0,0.0014302601095439573,0,1,0.0,0.006738071373870993,0,1,,
4463,4.463,0.0,0.0013605055008878266,0,1,0.0,0.0064094517552120405,0,1,,
4464,4.464,0.0,0.001294152864639583,0,1,0.0,0.006096859104475441,0,1,,
4465,4.465,0.0,0.001231036284647061,0,1,0.0,0.005799511777212113,0,1,,
4466,4.466,0.0,0.001170997936584321,0,1,0.0,0.005516666250222591,0,1,,
4467,4.4670000000000005,0.0,0.0011138876933086271,0,1,0.0,0.005247615262361747,0,1,,
4468,4.468,0.0,0.0010595627494643931,0,1,0.0,0.004991686046017528,0,1,,
4469,4.469,0.0,0.0010078872643954088,0,1,0.0,0.004748238644841498,0,1,,
4470,4.47,0.0,0.0009587320224724437,0,1,0.0,0.004516664313524628,0,1,,
4471,4.471,0.0,0.0009119741099868682,0,1,0.0,0.004296383995616945,0,1,,
4472,4.472,0.0,0.0008674966078023595,0,1,0.0,0.004086846875584784,0,1,,
4473,4.473,0.0,0.00082518829899616,0,1,0.0,0.0038875290014850554,0,1,,
4474,4.474,0.0,0.0007849433907588404,0,1,0.0,0.0036979319748124645,0,1,,
4475,4.4750000000000005,0.0,0.0007466612498571708,0,1,0.0,0.0035175817042436496,0,1,,
4476,4.476,0.0,0.0007102461509986204,0,1,0.0,0.0033460272201619274,0,1,,
4477,4.477,0.0,0.0006756070374682649,0,1,0.0,0.003182839546998354,0,1,,
4478,4.478,0.0,0.0006426572934395699,0,1,0.0,0.0030276106305693576,0,1,,
4479,4.479,0.0,0.0006113145273897086,0,1,0.0,0.002879952317728734,0,1,,
4480,4.48,0.0,0.0005815003660778385,0,1,0.0,0.002739495385782601,0,1,,
4481,4.481,0.0,0.0005531402585711769,0,1,0.0,0.002605888619240345,0,1,,
4482,4.482,0.0,0.0005261632898288367,0,1,0.0,0.0024787979315929534,0,1,,
4483,4.483,0.0,0.0005005020033772867,0,1,0.0,0.0023579055299227255,0,1,,
4484,4.484,0.0,0.00047609223263403086,0,1,0.0,0.0022429091202554453,0,1,,
4485,4.485,0.0,0.0004528729404577292,0,1,0.0,0.00213352115166799,0,1,,
4486,4.486,0.0,0.00043078606652355186,0,1,0.0,0.002029468097261243,0,1,,
4487,4.487,0.0,0.0004097763821421245,0,1,0.0,0.0019304897702003712,0,1,,
4488,4.488,0.0,0.0003897913521590378,0,1,0.0,0.0018363386731122147,0,1,,
4489,4.489,0.0,0.00037078100358959665,0,1,0.0,0.0017467793792129368,0,1,,
4490,4.49,0.0,0.0003526978006603292,0,1,0.0,0.0016615879436184364,0,1,,
4491,4.491,0.0,0.00033549652594479245,0,1,0.0,0.00158055134336549,0,1,,
4492,4.492,0.0,0.0003191341672964538,0,1,0.0,0.0015034669447433855,0,1,,
4493,4.493,0.0,0.0003035698102959204,0,1,0.0,0.0014301419966040974,0,1,,
4494,4.494,0.0,0.0002887645359435793,0,1,0.0,0.0013603931483840176,0,1,,
4495,4.495,0.0,0.00027468132334182666,0,1,0.0,0.0012940459916320436,0,1,,
4496,4.496,0.0,0.00026128495712354034,0,1,0.0,0.0012309346238976045,0,1,,
4497,4.497,0.0,0.00024854193939531904,0,1,0.0,0.0011709012338881211,0,1,,
4498,4.498,0.0,0.00023642040597530068,0,1,0.0,0.0011137957068585733,0,1,,
4499,4.499,0.0,0.00022489004671611044,0,1,0.0,0.0010594752492464467,0,1,,
4500,4.5,0.0,0.00021392202971370441,0,1,0.0,0.001007804031613448,0,1,3.62686211178937,3.601383921744921
4501,4.501,0.0,0.0002034889292125917,0,1,0.0,0.0009586528490011595,0,1,,
4502,4.502,0.0,0.00019356465702716013,0,1,0.0,0.0009118987978513428,0,1,,
4503,4.503,0.0,0.00018412439730762362,0,1,0.0,0.0008674249686830257,0,1,,
4504,4.5040000000000004,0.0,0.00017514454448747165,0,1,0.0,0.0008251201537579045,0,1,,
4505,4.505,0.0,0.00016660264425725737,0,1,0.0,0.0007848785690030721,0,1,,
4506,4.506,0.0,0.0001584773374171281,0,1,0.0,0.0007465995894957362,0,1,,
4507,4.507,0.0,0.00015074830646770026,0,1,0.0,0.0007101874978484985,0,1,,
4508,4.508,0.0,0.00014339622480572778,0,1,0.0,0.0006755512448660293,0,1,,
4509,4.509,0.0,1.0001364027083974,0,1,0.0,0.000642604221874654,0,1,,
4510,4.51,0.0,0.9513591747705232,0,1,0.0,0.0006112640441555563,0,1,,
4511,4.511,0.0,0.904960840310439,0,1,0.0,0.0005814523449400689,0,1,,
4512,4.5120000000000005,0.0,0.8608253793241815,0,1,0.0,0.0005530945794519324,0,1,,
4513,4.513,0.0,0.81884243017015,0,1,0.0,0.0005261198385065261,0,1,,
4514,4.514,0.0,0.7789070136075179,0,1,0.0,0.0005004606712009714,0,1,,
4515,4.515,0.0,0.7409192702934491,0,1,0.0,0.0004760529162517411,0,1,,
4516,4.516,0.0,0.7047842110827265,0,1,0.0,0.0004528355415580303,0,1,,
4517,4.517,0.0,0.6704114795054117,0,1,0.0,0.00043075049158971434,0,1,,
4518,4.518,0.0,0.637715125828605,0,1,0.0,0.0004097425422182836,0,1,,
4519,4.519,0.0,0.6066133921373443,0,1,0.0,0.00038975916262775745,0,1,,
4520,4.5200000000000005,0.0,0.577028507897232,0,1,0.0,0.0003707503839602819,0,1,,
4521,4.521,0.0,0.5488864954875897,0,1,0.0,0.0003526686743679577,0,1,,
4522,4.522,0.0,0.5221169852188737,0,1,0.0,0.0003354688201584621,0,1,,
4523,4.523,0.0,0.49665303937179706,0,1,0.0,0.0003191078127372674,0,1,,
