k,t_phys,u_A,col_A,sup_A,epoch_A,u_B,col_B,sup_B,epoch_B,energy_A,energy_B
6681,6.681,0.0,0.0015805398637437442,0,1,0.0,0.0004097437661021567,0,1,,
6682,6.682,0.0,0.0015034560249893988,0,1,0.0,0.0003897603268221097,0,1,,
6683,6.683,0.0,0.001430131609412797,0,1,0.0,0.0003707514913762056,0,1,,
6684,6.684,0.0,0.0013603832677820148,0,1,0.0,0.0003526697277745695,0,1,,
6685,6.6850000000000005,0.0,0.0012940365929126868,0,1,0.0,0.00033546982218982726,0,1,,
6686,6.686,0.0,0.0012309256835591998,0,1,0.0,0.00031910876589898624,0,1,,
6687,6.687,0.0,0.0011708927295751657,0,1,0.0,0.00030354564773922576,0,1,,
6688,6.688,0.0,0.001113787617305855,0,1,0.0,0.0002887415518086802,0,1,,
6689,6.689,0.0,0.00105946755422587,0,1,0.0,0.00027465946015641396,0,1,,
6690,6.69,0.0,0.0010077967118834533,0,1,0.0,0.00026126416021826247,0,1,,
6691,6.691,0.0,0.0009586458862586092,0,1,0.0,0.00024852215676708016,0,1,,
6692,6.692,0.0,0.0009118921746857538,0,1,0.0,0.00023640158815722587,0,1,,
6693,6.6930000000000005,0.0,0.0008674186685330342,0,1,0.0,0.00022487214665385278,0,1,,
6694,6.694,0.0,0.0008251141608698537,0,1,0.0,0.00021390500264778454,0,1,,
6695,6.695,0.0,0.0007848728683916205,0,1,0.0,0.0002034727325664758,0,1,,
6696,6.696,0.0,0.0007465941669063858,0,1,0.0,0.00019354925030079647,0,1,,
6697,6.697,0.0,0.0007101823397219514,0,1,0.0,0.00018410974197617127,0,1,,
6698,6.698,0.0,0.0006755463383042823,0,1,0.0,0.00017513060390496834,0,1,,
6699,6.699,0.0,0.0006425995546087472,0,1,0.0,0.00016658938356498552,0,1,,
6700,6.7,0.0,0.0006112596045148937,0,1,0.0,0.0001584647234564499,0,1,4.5450188395773115,3.6006600565627114
6701,6.7010000000000005,0.0,0.0005814481218232364,0,1,0.0,0.00015073630769714362,0,1,,
6702,6.702,0.0,0.0005530905622989382,0,1,0.0,0.00014338481122211648,0,1,,
6703,6.703,0.0,0.0005261160172723953,0,1,0.0,0.00013639185146095738,0,1,,
6704,6.704,0.0,0.0005004570363306283,0,1,0.0,0.00012973994237179336,0,1,,
6705,6.705,0.0,0.00047604945865611654,0,1,0.0,0.0001234124507170768,0,1,,
6706,6.706,0.0,0.0004528322525913342,0,1,0.0,0.0001173935544718277,0,1,,
6707,6.707,0.0,0.0004307473630278168,0,1,0.0,0.00011166820326032989,0,1,,
6708,6.708,0.0,0.0004097395662381503,0,1,0.0,0.00010622208072235236,0,1,,
6709,6.7090000000000005,0.0,0.0003897563317878879,0,1,0.0,0.00010104156871479162,0,1,,
6710,6.71,0.0,0.00037074769118210194,0,1,0.0,9.611371325922059e-05,0,1,,
6711,6.711,0.0,0.00035266611291811926,0,1,0.0,9.142619215019505e-05,0,1,,
6712,6.712,0.0,0.0003354663836320064,0,1,0.0,8.696728414332173e-05,0,1,,
6713,6.713,0.0,0.0003191054950416092,0,1,0.0,8.2725839646042e-05,0,1,,
6714,6.714,0.0,0.00030354253640344533,0,1,0.0,7.869125283784289e-05,0,1,,
6715,6.715,0.0,0.00028873859221453633,0,1,0.0,7.485343515018147e-05,0,1,,
6716,6.716,0.0,0.00027465664490337974,0,1,0.0,7.120279003980864e-05,0,1,,
6717,6.7170000000000005,0.0,0.0002612614822667389,0,1,0.0,6.773018899241234e-05,0,1,,
6718,6.718,0.0,0.00024851960942079356,0,1,0.0,6.442694869657698e-05,0,1,,
