k,t_phys,u_A,col_A,sup_A,epoch_A,u_B,col_B,sup_B,epoch_B,energy_A,energy_B
5159,5.159,0.0,4.5400195107868507e-05,0,1,0.0,0.0,0,0,,
5160,5.16,0.0,4.318600146467789e-05,0,1,0.0,0.0,0,0,,
5161,5.1610000000000005,0.0,4.107979531973254e-05,0,1,0.0,0.0,0,0,,
5162,5.162,0.0,3.907631006059631e-05,0,1,0.0,0.0,0,0,,
5163,5.163,0.0,3.7170535930552485e-05,0,1,0.0,0.0,0,0,,
5164,5.164,0.0,3.535770750160255e-05,0,1,0.0,0.0,0,0,,
5165,5.165,0.0,3.363329175841397e-05,0,1,0.0,0.0,0,0,,
5166,5.166,0.0,3.199297676342073e-05,0,1,0.0,0.0,0,0,,
5167,5.167,0.0,3.0432660874733416e-05,0,1,0.0,0.0,0,0,,
5168,5.168,0.0,2.8948442489898063e-05,0,1,0.0,0.0,0,0,,
5169,5.1690000000000005,0.0,2.753661028985775e-05,0,1,0.0,0.0,0,0,,
5170,5.17,0.0,2.619363395872183e-05,0,1,0.0,0.0,0,0,,
5171,5.171,0.0,2.4916155356137328e-05,0,1,0.0,0.0,0,0,,
5172,5.172,0.0,2.3700980120188894e-05,0,1,0.0,0.0,0,0,,
5173,5.173,0.0,2.2545069679830145e-05,0,1,0.0,0.0,0,0,,
5174,5.174,0.0,2.1445533656873326e-05,0,1,0.0,0.0,0,0,,
5175,5.175,0.0,2.0399622638538305e-05,0,1,0.0,0.0,0,0,,
5176,5.176,0.0,1.9404721302488528e-05,0,1,0.0,0.0,0,0,,
5177,5.1770000000000005,0.0,1.845834187716291e-05,0,1,0.0,0.0,0,0,,
5178,5.178,0.0,1.7558117921051105e-05,0,1,0.0,0.0,0,0,,
5179,5.179,0.0,1.6701798405357115e-05,0,1,0.0,0.0,0,0,,
5180,5.18,0.0,1.5887242085254792e-05,0,1,0.0,0.0,0,0,,
5181,5.181,0.0,1.511241214566044e-05,0,1,0.0,0.0,0,0,,
5182,5.182,0.0,1.4375371108134181e-05,0,1,0.0,0.0,0,0,,
5183,5.183,0.0,1.3674275986174669e-05,0,1,0.0,0.0,0,0,,
5184,5.184,0.0,1.3007373676792863e-05,0,1,0.0,0.0,0,0,,
5185,5.1850000000000005,0.0,1.2372996576841411e-05,0,1,0.0,0.0,0,0,,
5186,5.186,0.0,1.176955841313816e-05,0,1,0.0,0.0,0,0,,
5187,5.187,0.0,1.119555027595695e-05,0,1,0.0,0.0,0,0,,
5188,5.188,0.0,1.064953684596734e-05,0,1,0.0,0.0,0,0,,
5189,5.189,0.0,1.0130152805188661e-05,0,1,0.0,0.0,0,0,,
5190,5.19,0.0,9.636099422983903e-06,0,1,0.0,0.0,0,0,,
5191,5.191,0.0,9.166141308556641e-06,0,1,0.0,0.0,0,0,,
5192,5.192,0.0,8.719103321830555e-06,0,1,0.0,0.0,0,0,,
5193,5.1930000000000005,0.0,8.293867634987143e-06,0,1,0.0,0.0,0,0,,
5194,5.194,0.0,7.889370937313917e-06,0,1,0.0,0.0,0,0,,
5195,5.195,0.0,7.504601776373776e-06,0,1,0.0,0.0,0,0,,
5196,5.196,0.0,7.138598028847063e-06,0,1,0.0,0.0,0,0,,
5197,5.197,0.0,6.790444494722124e-06,0,1,0.0,0.0,0,0,,
5198,5.198,0.0,6.459270608818568e-06,0,1,0.0,0.0,0,0,,
5199,5.199,0.0,6.144248263920863e-06,0,1,0.0,0.0,0,0,,
5200,5.2,0.0,5.844589740078953e-06,0,1,0.0,0.0,0,0,4.538735213952443,6.35
5201,5.2010000000000005,0.0,5.55954573489808e-06,0,1,0.0,0.0,0,0,,
5202,5.202,0.0,5.2884034898925e-06,0,1,0.0,0.0,0,0,,
5203,5.203,0.0,5.03048500821801e-06,0,1,0.0,0.0,0,0,,
5204,5.204,0.0,4.785145359326688e-06,0,1,0.0,0.0,0,0,,
5205,5.205,0.0,4.551771066304588e-06,0,1,0.0,0.0,0,0,,
5206,5.206,0.0,4.3297785718599145e-06,0,1,0.0,0.0,0,0,,
5207,5.207,0.0,4.11861277912583e-06,0,1,0.0,0.0,0,0,,
5208,5.208,0.0,3.91774566362915e-06,0,1,0.0,0.0,0,0,,
5209,5.2090000000000005,0.0,3.726674952954124e-06,0,1,0.0,0.0,0,0,,
5210,5.21,0.0,3.544922870799777e-06,0,1,0.0,0.0,0,0,,
5211,5.211,0.0,3.372034942290291e-06,0,1,0.0,0.0,0,0,,
5212,5.212,0.0,3.2075788575510918e-06,0,1,0.0,0.0,0,0,,
5213,5.213,0.0,3.0511433907089826e-06,0,1,0.0,0.0,0,0,,
5214,5.214,0.0,2.9023373716132627e-06,0,1,0.0,0.0,0,0,,
5215,5.215,0.0,1.0000027607887076,0,1,0.0,0.0,0,0,,
5216,5.216,0.0,0.9512320506441676,0,1,0.0,0.0,0,0,,
5217,5.2170000000000005,0.0,0.9048399161008855,0,1,0.0,0.0,0,0,,
5218,5.218,0.0,0.8607103526579197,0,1,0.0,0.0,0,0,,
5219,5.219,0.0,0.8187330134205996,0,1,0.0,0.0,0,0,,
5220,5.22,0.0,0.7788029331758123,0,1,0.0,0.0,0,0,,
5221,5.221,0.0,0.740820265924296,0,1,0.0,0.0,0,0,,
5222,5.222,0.0,0.7046900352136339,0,1,0.0,0.0,0,0,,
5223,5.223,0.0,0.6703218966476528,0,1,0.0,0.0,0,0,,
5224,5.224,0.0,0.6376299119783739,0,1,0.0,0.0,0,0,,
5225,5.2250000000000005,0.0,0.6065323342156296,0,1,0.0,0.0,0,0,,
5226,5.226,0.0,0.5769514032170081,0,1,0.0,0.0,0,0,,
5227,5.227,0.0,0.548813151246994,0,1,0.0,0.0,0,0,,
5228,5.228,0.0,0.5220472180191015,0,1,0.0,0.0,0,0,,
5229,5.229,0.0,0.4965866747585087,0,1,0.0,0.0,0,0,,
5230,5.23,0.0,0.4723678568452595,0,1,0.0,0.0,0,0,,
5231,5.231,0.0,0.44933020461955187,0,1,0.0,0.0,0,0,,
5232,5.232,0.0,0.4274161119510444,0,1,0.0,0.0,0,0,,
5233,5.2330000000000005,0.0,0.4065707821935247,0,1,0.0,0.0,0,0,,
5234,5.234,0.0,0.38674209116475167,0,1,0.0,0.0,0,0,,
5235,5.235,0.0,0.3678804568088494,0,1,0.0,0.0,0,0,,
5236,5.236,0.0,0.3499387152153416,0,1,0.0,0.0,0,0,,
