t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
0,0.09950124791926823,0.0,0.0,0.09950124791926823,0.0,0.0,0.5970074875156095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.19355598212543917,0.0049502491687458405,0.0,0.19355598212543917,0.0049502491687458405,0.0,1.1613358927526354,0.029701495012475047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.28270861265951636,0.01406253461007417,0.0002462779849007657,0.28270861265951636,0.01406253461007417,0.0002462779849007657,1.6962516759570985,0.08437520766044504,0.0014776679094045944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.36743453548346905,0.026670340045482313,0.0009324170562154944,0.36743453548346905,0.026670340045482313,0.0009324170562154944,2.2046072129008145,0.1600220402728939,0.005594502337292968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.44814996466554385,0.04221007478756874,0.0022082443348875576,0.44814996466554385,0.04221007478756874,0.0022082443348875576,2.6888997879932632,0.2532604487254125,0.013249466009325347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5252202924997096,0.060205197948273344,0.0041873466948680466,0.5252202924997096,0.060205197948273344,0.0041873466948680466,3.151321754998258,0.36123118768964013,0.025124080169208283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5989672021771278,0.08025279132264497,0.006953385268834825,0.5989672021771278,0.08025279132264497,0.006953385268834825,3.5938032130627673,0.4815167479358699,0.04172031161300896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.6696747231157723,0.10201220326589484,0.010565396302172854,0.6696747231157723,0.10201220326589484,0.010565396302172854,4.0180483386946335,0.6120732195953692,0.06339237781303712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7375943898583363,0.12519544413497408,0.015062236873839592,0.7375943898583363,0.12519544413497408,0.015062236873839592,4.425566339150018,0.7511726648098446,0.09037342124303757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8029496407488659,0.14955906313441172,0.02046630943394372,0.8029496407488659,0.14955906313441172,0.02046630943394372,4.817697844493196,0.8973543788064706,0.12279785660366233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.865939571702006,0.1748972780755051,0.026786678335058572,0.865939571702006,0.1748972780755051,0.026786678335058572,5.195637430212037,1.0493836684530309,0.16072007001035146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.9267421426991156,0.20103616480025255,0.03402167397162638,0.9267421426991156,0.20103616480025255,0.03402167397162638,5.560452856194694,1.2062169888015157,0.20413004382975833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9855169196869489,0.22782874282796808,0.042161065293817857,0.9855169196869489,0.22782874282796808,0.042161065293817857,5.913101518121695,1.366972456967809,0.25296639176290725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.042407421897743,0.2551508189917204,0.051187868909866374,1.042407421897743,0.2551508189917204,0.051187868909866374,6.254444531386459,1.5309049139503228,0.3071272134591984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0975431338996773,0.2828974721526916,0.06107985237981611,1.0975431338996773,0.2828974721526916,0.06107985237981611,6.585258803398065,1.69738483291615,0.36647911427889684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.1510412326237707,0.3109800801129727,0.07181078033410532,1.1510412326237707,0.3109800801129727,0.07181078033410532,6.906247395742626,1.8658804806778362,0.43086468200463207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.2030080719435858,0.339323805098422,0.08335144446898668,1.2030080719435858,0.339323805098422,0.08335144446898668,7.218048431661516,2.0359428305905323,0.5001086668139202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.2535404608929983,0.36786546708200657,0.09567051206311251,1.2535404608929983,0.36786546708200657,0.09567051206311251,7.52124276535799,2.2071928024920395,0.5740230723786752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.3027267661132063,0.3965517451273288,0.10873522224440552,1.3027267661132063,0.3965517451273288,0.10873522224440552,7.816360596679237,2.379310470763973,0.6524113334664333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
