D_L1_abs,D_L1_norm,D_boundary_abs,D_boundary_norm,D_port_abs,D_port_norm,L1_max,L1_nonzero_frac,baseline_zeroing_artifact,candidate,interior_occ,kind,neg_frac_decay,peak_timing_offset,sat_occ,scenario,u_max,u_min,zero_occ,zero_occ_mean
,,,,,,0.0,0.0,,legacy,0.0,single,0.0,-299,0.0,R1_rest_small,0.0,0.0,1.0,
,,,,,,0.3401198930034858,1.0,,A_thin_amplitude,1.0,single,0.0,0,0.0,R1_rest_small,0.001700599465017429,2.736904226587198e-05,0.0,
,,,,,,1.0348364667275944,0.3322222222222222,,B_rate_port,0.9988888888888889,single,1.0,-298,0.0,R1_rest_small,0.005174182333637972,-0.005066684407512325,0.0011111111111111111,
,,,,,,0.15840064630447678,0.3933333333333333,,C_sensor_state,1.0,single,0.91,-134,0.0,R1_rest_small,0.000792003231522384,-0.00040034594294662213,0.0,
,,,,,,0.06178665359488307,1.0,,M_math_control,1.0,single,0.0,0,0.0,R1_rest_small,0.00030893326797441534,4.975061575037161e-06,0.0,
,,,,,,7.606051578939649,0.29333333333333333,,legacy,0.29333333333333333,single,0.0,0,0.0,R2_slow_ramp,0.038030257894698244,0.0,0.7066666666666667,
,,,,,,10.0,0.9995238095238095,,A_thin_amplitude,0.9995238095238095,single,0.0,0,0.0,R2_slow_ramp,0.09306026719180403,0.0,0.0004761904761904762,
,,,,,,2.810300397469579,0.7138095238095238,,B_rate_port,0.9995238095238095,single,1.0,1,0.0,R2_slow_ramp,0.014051501987347894,-0.25963888686411035,0.0004761904761904762,
,,,,,,2.786038298637312,0.7204761904761905,,C_sensor_state,0.9995238095238095,single,0.9766666666666667,197,0.0,R2_slow_ramp,0.013930191493186559,-0.02945010759183993,0.0004761904761904762,
,,,,,,1.9331403288678322,0.9995238095238095,,M_math_control,0.9995238095238095,single,0.0,0,0.0,R2_slow_ramp,0.00966570164433916,0.0,0.0004761904761904762,
,,,,,,8.0,0.7057142857142857,,legacy,0.19380952380952388,single,0.0,-1065,0.5119047619047619,R3_fast_step,0.04,0.0,0.29428571428571426,
,,,,,,10.0,1.0,,A_thin_amplitude,1.0,single,0.0,0,0.0,R3_fast_step,0.10538651845955618,0.001368452113293599,0.0,
,,,,,,10.0,0.7138095238095238,,B_rate_port,0.9995238095238095,single,1.0,1,0.0,R3_fast_step,0.25870911668189855,-0.2736399646937091,0.0004761904761904762,
,,,,,,7.920032315223836,0.7142857142857143,,C_sensor_state,1.0,single,1.0,-1334,0.0,R3_fast_step,0.03960016157611918,-0.039415977986372766,0.0,
,,,,,,2.0529807493082646,1.0,,M_math_control,1.0,single,0.0,0,0.0,R3_fast_step,0.010264903746541322,0.0002486506180971538,0.0,
2.9710215494462933,0.698677833710091,19.31993798744206,0.4280892014613338,0.014855107747231467,0.698677833710091,,,True,legacy,,pair,,,,R4_same_peak,,,,0.6383333333333333
3.0626620247416327,0.3859469693325401,19.31993798744206,0.4280892014613338,0.02657093304906844,0.4280892014613338,,,False,A_thin_amplitude,,pair,,,,R4_same_peak,,,,0.0004166666666666667
4.013677095871048,0.8032322174563525,19.31993798744206,0.4280892014613338,0.033486772630338196,0.6782436559825654,,,False,B_rate_port,,pair,,,,R4_same_peak,,,,0.0008333333333333334
2.8414509473258547,0.6696617641413791,19.31993798744206,0.4280892014613338,0.015286838964328031,0.5592938215124136,,,False,C_sensor_state,,pair,,,,R4_same_peak,,,,0.0004166666666666667
0.5150308316345268,0.36963528845696525,19.31993798744206,0.4280892014613338,0.002575154158172634,0.3696352884569653,,,False,M_math_control,,pair,,,,R4_same_peak,,,,0.0004166666666666667
0.06087128398935458,1.0,7.2704720905894895,0.4532664981066319,0.0003043564199467729,1.0,,,True,legacy,,pair,,,,R5_hidden_history,,,,0.9836363636363636
1.88315795689092,0.4413124930192556,7.2704720905894895,0.4532664981066319,0.009999163935191869,0.45326649810663194,,,False,A_thin_amplitude,,pair,,,,R5_hidden_history,,,,0.0009090909090909091
1.453012665249214,0.46487062342449104,7.2704720905894895,0.4532664981066319,0.03929335589340667,0.9909223891670129,,,False,B_rate_port,,pair,,,,R5_hidden_history,,,,0.0013636363636363637
1.4569558441078883,0.5741380912715378,7.2704720905894895,0.4532664981066319,0.007734626868694675,0.5486363149159325,,,False,C_sensor_state,,pair,,,,R5_hidden_history,,,,0.0009090909090909091
0.2553041837981083,0.399634172059129,7.2704720905894895,0.4532664981066319,0.0012765209189905416,0.39963417205912893,,,False,M_math_control,,pair,,,,R5_hidden_history,,,,0.0009090909090909091
,,,,,,8.0,1.0,,legacy,0.00039999999999995595,single,0.0,-1998,0.9996,R6_large,0.04,0.013392596367574158,0.0,
,,,,,,10.0,1.0,,A_thin_amplitude,1.0,single,0.0,0,0.0,R6_large,5.27164752346888,0.06842260566467995,0.0,
,,,,,,10.0,0.7996,,B_rate_port,0.9996,single,1.0,1,0.0,R6_large,12.93545583409493,-13.684314040836671,0.0004,
,,,,,,10.0,0.8,,C_sensor_state,1.0,single,1.0,-1834,0.0,R6_large,1.9800080788059582,-1.9790314912670313,0.0,
,,,,,,5.9488396721650085,1.0,,M_math_control,1.0,single,0.0,0,0.0,R6_large,0.029744198360825043,0.008212951839883093,0.0,
,,,,,,0.0,0.0,,legacy,0.0,single,0.0,-1999,0.0,R7_weak,0.0,0.0,1.0,
