t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
147,192.5677415332203,197.28301892455227,196.18097129293898,3.6132297597186604,1.7319479184152442e-14
148,197.1775025366969,192.4981171857001,200.96587303179115,3.788370495094234,2.1760371282653068e-14
149,201.7831726046853,187.71321544684793,205.75077477064332,3.967602165958024,3.1086244689504383e-15
150,206.38475536768888,182.92831370799576,210.5356765094955,4.150921141806599,7.105427357601002e-15
151,210.98225445298925,178.14341196914359,215.32057824834766,4.338323795358406,0.0
152,215.5756734846489,173.35851023029142,220.10547998719983,4.5298065025509295,1.0658141036401503e-14
153,220.16501608351413,168.57360849143924,224.890381726052,4.725365642537847,1.9539925233402755e-14
154,224.750285867218,163.78870675258707,229.67528346490417,4.924997597686136,3.552713678800501e-14
155,229.33148645018306,159.0038050137349,234.46018520375634,5.128698753573244,3.108624468950438e-14
156,233.90862144362418,154.21890327488273,239.2450869426085,5.336465498984278,4.618527782440651e-14
157,238.48169445555155,149.43400153603056,244.02998868146068,5.548294225909083,4.884981308350689e-14
158,243.05070909077335,144.6490997971784,248.81489042031285,5.764181329539447,4.973799150320701e-14
159,247.61566895089874,139.86419805832622,253.59979215916502,5.984123208266233,4.973799150320701e-14
160,252.17657763434056,135.07929631947405,258.3846938980172,6.208116263676574,5.5067062021407764e-14
161,256.7334387363183,130.29439458062188,263.16959563686936,6.436156900551019,3.552713678800501e-14
162,261.28625584886083,125.50949284176971,267.95449737572153,6.668241526860692,5.329070518200751e-15
163,265.8350325608092,120.72459110291754,272.7393991145737,6.904366553764451,2.4868995751603507e-14
164,270.37977245781974,115.93968936406537,277.52430085342587,7.144528395606072,5.861977570020827e-14
165,274.92047912236654,111.1547876252132,282.30920259227804,7.3887234699114535,4.3520742565306136e-14
166,279.45715613374443,106.36988588636103,287.0941043311302,7.63694819738574,3.730349362740526e-14
167,283.9898070680718,101.58498414750886,291.8790060699824,7.889199001910547,3.6415315207705135e-14
168,288.51843549829346,96.80008240865669,296.66390780883455,8.145472310541066,2.842170943040401e-14
169,293.04304499418333,92.01518066980452,301.4488095476867,8.405764553503365,2.3092638912203256e-14
170,297.5636391223474,87.23027893095235,306.2337112865389,8.670072164191474,7.105427357601002e-15
171,302.0802214462264,82.44537719210018,311.01861302539106,8.938391579164612,4.618527782440651e-14
172,306.5927955260988,77.66047545324801,315.80351476424323,9.210719238144385,2.1316282072803006e-14
173,311.10136491908344,72.87557371439584,320.5884165030954,9.487051584011951,1.4210854715202004e-14
174,315.6059331791423,68.09067197554367,325.3733182419476,9.767385062805271,1.0658141036401503e-14
175,320.10650385708345,63.3057702366915,330.15821998079974,10.051716123716256,3.375077994860476e-14
176,324.6030805005639,58.52086849783933,334.9431217196519,10.340041219087965,2.842170943040401e-14
177,329.0956666540922,53.73596675898716,339.7280234585041,10.632356804411845,2.4868995751603507e-14
178,333.5842658590313,48.95106502013499,344.51292519735625,10.92865933832492,4.263256414560601e-14
179,338.0688816536014,44.16616328128282,349.2978269362084,11.228945282607002,1.2434497875801753e-14
180,342.54951757288273,39.38126154243065,354.0827286750606,11.533211102177878,1.9539925233402755e-14
181,347.0261771488182,34.59635980357848,358.86763041391276,11.84145326509457,1.7763568394002505e-15
182,351.4988639102164,29.81145806472631,363.65253215276493,12.153668242548498,2.1316282072803006e-14
183,355.96758138275436,25.02655632587414,368.4374338916171,12.46985250886276,1.5987211554602254e-14
184,360.43233308898,20.24165458702197,373.2223356304693,12.79000254148929,3.552713678800501e-15
185,364.8931225483153,15.456752848169799,378.00723736932144,13.114114821006115,1.0658141036401503e-14
186,369.34995327705906,10.671851109317629,382.7921391081736,13.442185831114593,3.552713678800501e-14
187,373.8028287883892,5.886949370465459,387.5770408470258,13.774212058636603,2.4868995751603507e-14
188,378.2517525923662,1.1020476316132886,392.36194258587796,14.110189993511803,3.552713678800501e-14
189,379.0171424400391,0.0,393.46399021749124,14.446847777452156,7.105427357601002e-15
190,378.6807834232744,0.0,393.46399021749124,14.783206794216806,1.7763568394002505e-14
191,378.3447229085444,0.0,393.46399021749124,15.11926730894688,1.9539925233402755e-14
192,378.008960630943,0.0,393.46399021749124,15.455029586548203,1.7763568394002505e-14
193,377.6734963257997,0.0,393.46399021749124,15.790493891691524,1.5987211554602254e-14
194,377.33832972867856,0.0,393.46399021749124,16.125660488812695,1.0658141036401503e-14
195,377.00346057537837,0.0,393.46399021749124,16.460529642112892,1.7763568394002505e-14
196,376.6688886019324,0.0,393.46399021749124,16.79510161555885,0.0
197,376.33461354460826,0.0,393.46399021749124,17.129376672882994,1.0658141036401503e-14
198,376.0006351399075,0.0,393.46399021749124,17.463355077583756,1.4210854715202004e-14
199,375.6669531245655,0.0,393.46399021749124,17.79703709292572,1.4210854715202004e-14
200,375.3335672355514,0.0,393.46399021749124,18.130422981939827,3.552713678800501e-15
201,375.0004772100677,0.0,393.46399021749124,18.463513007423543,1.4210854715202004e-14
202,374.66768278555,0.0,393.46399021749124,18.796307431941198,1.7763568394002505e-14
203,374.3351836996672,0.0,393.46399021749124,19.128806517824046,0.0
204,374.0029796903207,0.0,393.46399021749124,19.461010527170547,2.4868995751603507e-14
205,373.67107049564464,0.0,393.46399021749124,19.792919721846594,7.105427357601002e-15
206,373.3394558540056,0.0,393.46399021749124,20.124534363485644,2.1316282072803006e-14
207,373.00813550400227,0.0,393.46399021749124,20.455854713489007,3.197442310920451e-14
208,372.6771091844653,0.0,393.46399021749124,20.786881033025978,1.4210854715202004e-14
209,372.34637663445716,0.0,393.46399021749124,21.117613583034096,1.0658141036401503e-14
210,372.015937593272,0.0,393.46399021749124,21.448052624219304,4.618527782440651e-14
211,371.6857918004351,0.0,393.46399021749124,21.778198417056238,7.815970093361102e-14
212,371.35593899570296,0.0,393.46399021749124,22.108051221788312,2.4868995751603507e-14
213,371.02637891906323,0.0,393.46399021749124,22.437611298428045,3.552713678800501e-14
214,370.69711131073416,0.0,393.46399021749124,22.766878906757146,6.039613253960852e-14
215,370.3681359111645,0.0,393.46399021749124,23.09585430632685,7.815970093361102e-14
216,370.0394524610333,0.0,393.46399021749124,23.424537756457983,4.618527782440651e-14
217,369.71106070125,0.0,393.46399021749124,23.752929516241284,4.618527782440651e-14
218,369.38296037295373,0.0,393.46399021749124,24.081029844537564,5.3290705182007514e-14
219,369.0551512175134,0.0,393.46399021749124,24.408838999977874,4.263256414560601e-14
220,368.72763297652756,0.0,393.46399021749124,24.73635724096374,5.684341886080802e-14
221,368.4004053918239,0.0,393.46399021749124,25.06358482566742,5.684341886080802e-14
222,368.0734682054593,0.0,393.46399021749124,25.390522012032026,6.039613253960852e-14
223,367.7468211597196,0.0,393.46399021749124,25.717169057771738,1.1013412404281553e-13
224,367.42046399711927,0.0,393.46399021749124,26.04352622037205,7.815970093361102e-14
225,367.09439646040136,0.0,393.46399021749124,26.369593757089973,8.526512829121202e-14
226,366.76861829253716,0.0,393.46399021749124,26.695371924954173,8.526512829121202e-14
