t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
0,0.38536833319132585,0.0,0.0,0.38536833319132585,0.0,0.0,2.312209999147955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.749642318771826,0.01917231503055264,0.0,0.749642318771826,0.01917231503055264,0.0,4.497853912630956,0.11503389018331585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0949304568303069,0.05446419654481726,0.0009538346355206655,1.0949304568303069,0.05446419654481726,0.0009538346355206655,6.569582740981841,0.32678517926890355,0.005723007813123994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4230739559274757,0.10329422699615298,0.00361125125872261,1.4230739559274757,0.10329422699615298,0.00361125125872261,8.538443735564853,0.6197653619769179,0.02166750755233566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.7356848131496512,0.16347961965225372,0.008552530309019509,1.7356848131496512,0.16347961965225372,0.008552530309019509,10.414108878897906,0.9808777179135223,0.05131518185411705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0341781928513747,0.23317473165366268,0.016217593749223942,2.0341781928513747,0.23317473165366268,0.016217593749223942,12.205069157108248,1.3990483899219759,0.09730556249534365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.3197999740320157,0.31081906079260396,0.026930461146197276,2.3197999740320157,0.31081906079260396,0.026930461146197276,13.918799844192094,1.8649143647556237,0.16158276687718365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.5936502026273853,0.3950932632488107,0.04091977987831545,2.5936502026273853,0.3950932632488107,0.04091977987831545,15.561901215764312,2.370559579492864,0.24551867926989274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.8567030719213355,0.48488195513475457,0.05833604341238073,2.8567030719213355,0.48488195513475457,0.05833604341238073,17.140218431528016,2.909291730808527,0.35001626047428436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.109823958620357,0.5792422515195765,0.07926601643766401,3.109823958620357,0.5792422515195765,0.07926601643766401,18.658943751722145,3.4754535091174596,0.475596098625984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3.3537839612018687,0.677377157986431,0.10374480519168183,3.3537839612018687,0.677377157986431,0.10374480519168183,20.122703767211217,4.064262947918587,0.622468831150091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3.5892723186736744,0.7786130662713779,0.13176594329210894,3.5892723186736744,0.7786130662713779,0.13176594329210894,21.535633912042048,4.671678397628269,0.7905956597526538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3.816907029947553,0.8823807209727202,0.16328980588295652,3.816907029947553,0.8823807209727202,0.16328980588295652,22.901442179685322,5.294284325836323,0.9797388352977393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4.037243945009958,0.9881991219549329,0.19825061628791243,4.037243945009958,0.9881991219549329,0.19825061628791243,24.223463670059754,5.9291947317295985,1.1895036977274747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4.25078455759345,1.0956619096473745,0.23656226826702775,4.25078455759345,1.0956619096473745,0.23656226826702775,25.504707345560707,6.573971457884248,1.4193736096021665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4.457982693951863,1.204425850277543,0.2781231522339898,4.457982693951863,1.204425850277543,0.2781231522339898,26.74789616371119,7.226555101665259,1.668738913403939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4.6592502626375065,1.3142010971461882,0.3228201444283853,4.6592502626375065,1.3142010971461882,0.3228201444283853,27.95550157582505,7.885206582877132,1.9369208665703121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4.854962205038581,1.424742954008611,0.37053189322043467,4.854962205038581,1.424742954008611,0.37053189322043467,29.129773230231496,8.54845772405167,2.2231913593226085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5.045460765156446,1.535844908878144,0.42113151575258245,5.045460765156446,1.535844908878144,0.42113151575258245,30.27276459093869,9.215069453268868,2.5267890945154954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5.231059179090578,1.6473327423026147,0.4744888003993068,5.231059179090578,1.6473327423026147,0.4744888003993068,31.38635507454348,9.883996453815692,2.8469328023958416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5.412044869451042,1.7590595443876758,0.5304719955514425,5.412044869451042,1.7590595443876758,0.5304719955514425,32.472269216706266,10.55435726632606,3.182831973308656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5.588682217008554,1.8709015004023808,0.5889492525795704,5.588682217008554,1.8709015004023808,0.5889492525795704,33.53209330205134,11.225409002414288,3.5336955154774237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5.761214970960811,1.9827543264212946,0.649789780143516,5.761214970960811,1.9827543264212946,0.649789780143516,34.567289825764874,11.896525958527771,3.8987386808610967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5.929868349936277,2.0945302547418416,0.7128647579880579,5.929868349936277,2.0945302547418416,0.7128647579880579,35.579210099617676,12.567181528451053,4.277188547928348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6.0948508780155635,2.2061554842798397,0.7780480507417875,6.0948508780155635,2.2061554842798397,0.7780480507417875,36.56910526809339,13.236932905679042,4.6682883044507255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6.256355993407981,2.3175680242252135,0.8452167557995297,6.256355993407981,2.3175680242252135,0.8452167557995297,35.225925961299936,13.905408145351284,5.071300534797179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6.414563461792655,2.4287158703016223,0.9142516139352226,6.414563461792655,2.4287158703016223,0.9142516139352226,33.989526858124975,14.457261331626423,5.485509683611336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6.569640621563747,2.5395554623293224,0.9850373067063886,6.569640621563747,2.5395554623293224,0.9850373067063886,32.84826098840064,14.910547594707035,5.9045008324252075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,6.7217434841760495,2.650050379703171,1.0574626608420268,6.7217434841760495,2.650050379703171,1.0574626608420268,31.792017169491448,15.280536916242111,6.323108457499826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
