t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
0,0.6467581114752435,0.0,0.0,0.6467581114752435,0.0,0.0,3.8805486688514614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.258113883815355,0.03217661959684796,0.0,1.258113883815355,0.03217661959684796,0.0,7.548683302892129,0.1930597175810878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8376059822868567,0.09140647496548211,0.001600806901854977,1.8376059822868567,0.09140647496548211,0.001600806901854977,11.02563589372114,0.5484388497928927,0.009604841411129864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.3883244806425488,0.17335721029563503,0.006060710865400713,2.3883244806425488,0.17335721029563503,0.006060710865400713,14.329946883855293,1.0401432617738102,0.03636426519240429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.9129747703260347,0.27436548611919687,0.014353588176769122,2.9129747703260347,0.27436548611919687,0.014353588176769122,17.47784862195621,1.646192916715181,0.08612152906061474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.413931901248112,0.39133378666377683,0.027217753516642303,3.413931901248112,0.39133378666377683,0.027217753516642303,20.48359140748867,2.3480027199826603,0.16330652109985383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.8932868141513306,0.5216431435971924,0.04519700424742636,3.8932868141513306,0.5216431435971924,0.04519700424742636,23.359720884907983,3.1298588615831537,0.27118202548455816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.35288570025252,0.6630793212283166,0.06867507596412355,4.35288570025252,0.6630793212283166,0.06867507596412355,26.117314201515114,3.9784759273698986,0.41205045578474125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.794363534079186,0.8137703868773316,0.09790453967995737,4.794363534079186,0.8137703868773316,0.09790453967995737,28.76618120447511,4.882622321263988,0.5874272380797441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.219172664867629,0.9721339103736765,0.1330310113206342,5.219172664867629,0.9721339103736765,0.1330310113206342,31.315035989205764,5.832803462242057,0.7981860679238049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5.62860721606304,1.1368323074907833,0.17411340917788076,5.62860721606304,1.1368323074907833,0.17411340917788076,33.77164329637823,6.820993844944698,1.0446804550672841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6.023823927544253,1.306735071201642,0.2211408808155715,6.023823927544253,1.306735071201642,0.2211408808155715,36.142943565265504,7.840410427209849,1.3268452848934287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6.40585997796517,1.4808868283817929,0.27404692440981615,6.40585997796517,1.4808868283817929,0.27404692440981615,38.43515986779101,8.885320970290755,1.6442815464588962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
