step,time_ms,met_act,hc_release,aff_r_v,aff_i_v,enc_r_act,col_act,mot_act,enc_r_energy,col_energy,mot_energy,enc_r_heat,col_heat,mot_heat,aff_r_spikes,aff_i_spikes,mot_spikes
42,42.0,0.0020333946259949126,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
43,43.0,0.0021316682188577325,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
44,44.0,0.002232240526467908,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
45,45.0,0.002335110161966905,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
46,46.0,0.002440275739144325,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
47,47.0,0.002547735872437626,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
48,48.0,0.002657489176931841,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
49,49.0,0.0027695342683593093,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
50,50.0,0.0028838697630993904,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
51,51.00000000000001,0.0030004942781781917,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
52,52.00000000000001,0.0031194064312682875,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
53,53.0,0.003240604840688445,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
54,54.0,0.0033640881254033456,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
55,55.0,0.0034898549050233086,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
56,56.0,0.003617903799804013,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
57,57.0,0.003748233430646222,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
58,58.0,0.003880842419095505,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
