path,owner_class,value,category
s1.adx.input_neuron.config.potential_phi_epsilon,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.theta_m,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.theta_m_tau,NeuronConfig,100.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._membrane.capacitance,Capacitor,0.001,STATIC_PARAMETER
s1.adx.input_neuron._membrane.charge,Capacitor,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._membrane._q_in,Capacitor,0.0,AUDIT_COUNTER
s1.adx.input_neuron._membrane._q_out,Capacitor,0.0,AUDIT_COUNTER
s1.adx.input_neuron._power.vdd,PowerRail,2.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._power.r_internal,PowerRail,0.01,DYNAMIC_CAUSAL
s1.adx.input_neuron._power._last_current,PowerRail,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._channels['default'].v_threshold,MOSFET,0.3,STATIC_PARAMETER
s1.adx.input_neuron._channels['default'].gm,MOSFET,1.0,STATIC_PARAMETER
s1.adx.input_neuron._channels['default'].n_slope,MOSFET,1.5,DYNAMIC_CAUSAL
s1.adx.input_neuron._channels['default'].v_thermal,MOSFET,0.026,DYNAMIC_CAUSAL
s1.adx.input_neuron._channels['default'].m_gate,MOSFET,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._channels['default'].tau_gate,MOSFET,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._channel_configs['default'].v_threshold,ChannelConfig,0.3,STATIC_PARAMETER
s1.adx.input_neuron._channel_configs['default'].gm,ChannelConfig,1.0,STATIC_PARAMETER
s1.adx.input_neuron._channel_configs['default'].tau_gate,ChannelConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._channel_configs['default'].reversal,ChannelConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._channel_configs['default'].sign,ChannelConfig,1.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.activation,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.release_rate,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.energy,RelationInputNeuron,1.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.heat_output,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.spike_times,RelationInputNeuron,[0],HISTORICAL_LOG
s1.adx.input_neuron._spike_heat,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._vr_energy_delivered,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._cumulative_heat_out,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._cumulative_energy_in,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._w_adapt,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.pre_trace,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.post_trace,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._prev_activation,RelationInputNeuron,0.0,AUDIT_COUNTER
s1.adx.input_neuron._current_time,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._activation_ema,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._fatigue_v_th_base,RelationInputNeuron,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron._mitosis_counter,RelationInputNeuron,0,DYNAMIC_CAUSAL
s1.adx.input_neuron._split_count,RelationInputNeuron,0,DYNAMIC_CAUSAL
s1.adx.input_neuron._apoptosis_counter,RelationInputNeuron,0,DYNAMIC_CAUSAL
s1.adx.collector.config.region,NeuronConfig,0,DYNAMIC_CAUSAL
s1.adx.collector.config.capacitance,NeuronConfig,7.920427e-07,STATIC_PARAMETER
s1.adx.collector.config.r_leak,NeuronConfig,1.5,STATIC_PARAMETER
s1.adx.collector.config.v_rest,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.inertia,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.vdd,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.r_supply,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.adx.collector.config.channels,NeuronConfig,[0],DYNAMIC_CAUSAL
s1.adx.collector.config.leak_conductance,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.adx.collector.config.leak_reversal,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.ca_capacitance,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.ca_r_leak,NeuronConfig,50.0,DYNAMIC_CAUSAL
s1.adx.collector.config.ca_release_threshold,NeuronConfig,0.3,DYNAMIC_CAUSAL
s1.adx.collector.config.ca_release_gm,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.v_peak,NeuronConfig,0.23,DYNAMIC_CAUSAL
s1.adx.collector.config.v_reset,NeuronConfig,-0.3,DYNAMIC_CAUSAL
s1.adx.collector.config.b_adapt,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.adx.collector.config.tau_w,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.adx.collector.config.trace_tau_pre,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.adx.collector.config.trace_tau_post,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.adx.collector.config.energy,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.metabolic_recovery,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.adx.collector.config.basal_metabolic_cost,NeuronConfig,0.0002,DYNAMIC_CAUSAL
s1.adx.collector.config.vr_base_rate,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.adx.collector.config.vr_activity_coeff,NeuronConfig,0.5,DYNAMIC_CAUSAL
s1.adx.collector.config.vr_max_rate,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.adx.collector.config.dc_capacitance,NeuronConfig,40.0,DYNAMIC_CAUSAL
s1.adx.collector.config.dc_resistance,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.adx.collector.config.bc_current,NeuronConfig,0.025,DYNAMIC_CAUSAL
s1.adx.collector.config.agc_base_gain,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.adx.collector.config.agc_target_activity,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.agc_tau,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.adx.collector.config.fatigue_capacitance,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.fatigue_r_leak,NeuronConfig,3.0,DYNAMIC_CAUSAL
s1.adx.collector.config.fatigue_q_spike,NeuronConfig,0.05,DYNAMIC_CAUSAL
s1.adx.collector.config.fatigue_k,NeuronConfig,0.5,DYNAMIC_CAUSAL
s1.adx.collector.config.mitosis_v_fat_threshold,NeuronConfig,0.8,DYNAMIC_CAUSAL
s1.adx.collector.config.mitosis_confirm_steps,NeuronConfig,50000,DYNAMIC_CAUSAL
s1.adx.collector.config.mitosis_max_splits,NeuronConfig,4,DYNAMIC_CAUSAL
s1.adx.collector.config.apoptosis_energy_threshold,NeuronConfig,0.05,DYNAMIC_CAUSAL
s1.adx.collector.config.apoptosis_confirm_steps,NeuronConfig,30000,DYNAMIC_CAUSAL
s1.adx.collector.config.cri_capacitance,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.cri_r_leak,NeuronConfig,50.0,DYNAMIC_CAUSAL
s1.adx.collector.config.cri_q_spike,NeuronConfig,0.2,DYNAMIC_CAUSAL
s1.adx.collector.config.cri_v_clamp,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.dn_sigma,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.dn_pool_capacitance,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.adx.collector.config.dn_pool_r_leak,NeuronConfig,5.0,DYNAMIC_CAUSAL
s1.adx.collector.config.d2_conductance,NeuronConfig,0.5,DYNAMIC_CAUSAL
s1.adx.collector.config.d2_ec50,NeuronConfig,0.3,DYNAMIC_CAUSAL
s1.adx.collector.config.d2_da_capacitance,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.collector.config.d2_da_r_leak,NeuronConfig,100.0,DYNAMIC_CAUSAL
s1.adx.collector.config.da_concentration_input,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.maturation_stage,NeuronConfig,0,DYNAMIC_CAUSAL
s1.adx.collector.config.potential_phi,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.potential_phi_epsilon,NeuronConfig,0.001,DYNAMIC_CAUSAL
s1.adx.collector.config.theta_m,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.collector.config.theta_m_tau,NeuronConfig,100.0,DYNAMIC_CAUSAL
s1.adx.collector._membrane.capacitance,Capacitor,7.920427e-07,STATIC_PARAMETER
s1.adx.collector._membrane.charge,Capacitor,0.0,DYNAMIC_CAUSAL
s1.adx.collector._membrane._q_in,Capacitor,0.0,AUDIT_COUNTER
s1.adx.collector._membrane._q_out,Capacitor,0.0,AUDIT_COUNTER
