g,sat_frac,max_u
2.512531302148503e-05,0.0,2.5e-05
4.4679826816889664e-05,0.0,4.4456985250973074e-05
7.945321607257979e-05,0.0,7.905694150420948e-05
0.00014129001820324224,0.0,0.00014058533129758727
0.0002512531302148503,0.0,0.00025000000000000006
0.00044679826816889664,0.0,0.00044456985250973074
0.0007945321607257978,0.0,0.0007905694150420948
0.0014129001820324225,0.0,0.0014058533129758727
0.002512531302148503,0.0,0.0025000000000000005
0.004467982681688966,0.0,0.004445698525097307
0.00794532160725798,0.0,0.00790569415042095
0.014129001820324224,0.0,0.014058533129758728
0.02512531302148503,0.0,0.025
0.04467982681688966,0.0,0.04445698525097307
0.05025062604297006,0.0,0.05
0.0794532160725798,0.16111111111111112,0.0790569415042095
0.14129001820324225,0.39444444444444443,0.14058533129758727
0.2512531302148503,0.5555555555555556,0.25000000000000006
0.275062,0.5777777777777777,0.27369012255169756
0.4467982681688966,0.7111111111111111,0.44456985250973075
0.7945321607257979,0.9388888888888889,0.7905694150420949
1.4129001820324225,0.9833333333333333,1.4058533129758728
2.5125313021485027,0.9833333333333333,2.5
